pivot,inflection,similarity,category
abonować,sprawdzicie,0.22400666955077786,V;FUT;2;PL
abonować,lansowałyśmy,0.3981744615993603,V;PST;1;PL
abonować,będziecie absorbowały,0.4022324039640217,V;FUT;2;PL
abonować,będziemy pięły,0.2965660437235338,V;FUT;1;PL
abonować,będziecie dotykały,0.37066947609033774,V;FUT;2;PL
abonować,podochodził,0.4122053074916727,V;PST;3;SG;MASC
abonować,wyjrzała,0.21931227547864574,V;PST;3;SG;FEM
abonować,gadałyśmy,0.19964460040985865,V;PST;1;PL
abonować,lizaliśmy,0.4189763323089277,V;PST;1;PL;MASC;HUM
abonować,będzie spodziewał,0.3489776611230331,V;FUT;3;SG;MASC
abonować,sprzęgłyście,0.27011059846843755,V;PST;2;PL
abonować,przegapiłam,0.1692260185870662,V;PST;1;SG;FEM
abonować,mamroczemy,0.3368906479263645,V;PRS;1;PL
abonować,jebnęło,0.39582226073189986,V;PST;3;SG;NEUT
abonować,odwiedzały,0.22602247732285607,V;PST;3;PL
abonować,przyjmujesz,0.20966830240624945,V;PRS;2;SG
abonować,uczęszczacie,0.38615993508319346,V;PRS;2;PL
abonować,będziecie błądzili,0.39244983480935947,V;FUT;2;PL;MASC;HUM
abonować,pojawiają,0.273521559804484,V;PRS;3;PL
abonować,będę szczekał,0.42822787069448676,V;FUT;1;SG;MASC
abonować,przeżuł,0.1640605249135948,V;PST;3;SG;MASC
abonować,kimałem,0.2962476312377442,V;PST;1;SG;MASC
abonować,będzie kosiła,0.35959199519521423,V;FUT;3;SG;FEM
abonować,uderzyłeś,0.29972199294935775,V;PST;2;SG;MASC
abonować,kwestionowaliśmy,0.42741467569619673,V;PST;1;PL;MASC;HUM
abonować,zazdrościli,0.23173157074101525,V;PST;3;PL;MASC;HUM
abonować,wisiał,0.3114853964081967,V;PST;3;SG;MASC
abonować,drapała,0.2493480514335401,V;PST;3;SG;FEM
abonować,wpływają,0.29437724832141654,V;PRS;3;PL
abonować,wybuchnęliście,0.3324668805397377,V;PST;2;PL;MASC;HUM
abonować,przesadza,0.1251980485353843,V;PRS;3;SG
abonować,potrzebował,0.19928741167790542,V;PST;3;SG;MASC
absorbować,konfigurowało,0.2582864545024852,V;PST;3;SG;NEUT
absorbować,będziesz chłeptał,0.1887574226467712,V;FUT;2;SG;MASC
absorbować,pląsacie,0.19252511015864227,V;PRS;2;PL
absorbować,będzie zapierdalała,0.1620794887992243,V;FUT;3;SG;FEM
absorbować,będziemy analizowały,0.17559967014308286,V;FUT;1;PL
absorbować,wygrała,0.10111370701154077,V;PST;3;SG;FEM
absorbować,będę trwała,0.1858430419628072,V;FUT;1;SG;FEM
absorbować,dusiłam,0.164726361256463,V;PST;1;SG;FEM
absorbować,zieje,0.11960832098059582,V;PRS;3;SG
absorbować,będziesz znikała,0.22295136815083638,V;FUT;2;SG;FEM
absorbować,dąsałaś,0.17157100652366397,V;PST;2;SG;FEM
absorbować,będą łamały,0.24464811055422864,V;FUT;3;PL
absorbować,będziecie tlały,0.1661738334278242,V;FUT;2;PL
absorbować,plotkowałyśmy,0.09662937689355366,V;PST;1;PL
absorbować,będę lgnęła,0.17435590009940327,V;FUT;1;SG;FEM
absorbować,będzie filmował,0.22539982981613127,V;FUT;3;SG;MASC
absorbować,będą dowodziły,0.21267491365230695,V;FUT;3;PL
absorbować,siedziałam,0.07009206669975987,V;PST;1;SG;FEM
absorbować,poznałyście,0.16735074530186989,V;PST;2;PL
absorbować,będzie płynęła,0.18384499820539757,V;FUT;3;SG;FEM
absorbować,przepraszałeś,0.15997783764571416,V;PST;2;SG;MASC
absorbować,będziemy nadzorowali,0.2035447262334582,V;FUT;1;PL;MASC;HUM
absorbować,będziecie konkurowały,0.21335188898018842,V;FUT;2;PL
absorbować,posiadałam,0.161096169269055,V;PST;1;SG;FEM
absorbować,wyruchał,0.1837562479835122,V;PST;3;SG;MASC
absorbować,zamówiłam,0.0926271129348405,V;PST;1;SG;FEM
absorbować,będą refowały,0.16887047776840847,V;FUT;3;PL
absorbować,krzyczałem,0.15102341954720544,V;PST;1;SG;MASC
absorbować,mieszka,0.0331309229428578,V;PRS;3;SG
absorbować,będzie rąbało,0.19662885928563012,V;FUT;3;SG;NEUT
absorbować,będziemy oceniały,0.22927540413498704,V;FUT;1;PL
absorbować,będziemy unikały,0.18727074003777133,V;FUT;1;PL
analizować,śpiewaliście,0.1973557566042896,V;PST;2;PL;MASC;HUM
analizować,będę mył,0.19146812673629676,V;FUT;1;SG;MASC
analizować,będą podziwiały,0.3375743611633165,V;FUT;3;PL
analizować,brodzimy,0.1863707520760891,V;PRS;1;PL
analizować,kupiłyście,0.10178460554240287,V;PST;2;PL
analizować,bębniliśmy,0.24015577132175403,V;PST;1;PL;MASC;HUM
analizować,zweryfikujecie,0.3210211818053348,V;FUT;2;PL
analizować,sprzątnął,0.14758253115694475,V;PST;3;SG;MASC
analizować,będą przodowały,0.2792011140260997,V;FUT;3;PL
analizować,będą należeli,0.1924667476643731,V;FUT;3;PL;MASC;HUM
analizować,będziemy spadali,0.2732808148402581,V;FUT;1;PL;MASC;HUM
analizować,żartuję,0.18602289837892594,V;PRS;1;SG
analizować,będzie okradał,0.31331363101648435,V;FUT;3;SG;MASC
analizować,będą szczuli,0.2057589838536812,V;FUT;3;PL;MASC;HUM
analizować,odbijałyście,0.28490434581626756,V;PST;2;PL
analizować,rzucałyśmy,0.22525160742155848,V;PST;1;PL
analizować,przesadzała,0.17561925632300923,V;PST;3;SG;FEM
analizować,poróżniliście,0.13698932889144677,V;PST;2;PL;MASC;HUM
analizować,rosła,0.1887179551420759,V;PST;3;SG;FEM
analizować,wyłudzili,0.123132214019404,V;PST;3;PL;MASC;HUM
analizować,będziecie obiecywali,0.20626831517911126,V;FUT;2;PL;MASC;HUM
analizować,ruszali,0.23846922804727044,V;PST;3;PL;MASC;HUM
analizować,podochodziły,0.2501651219376564,V;PST;3;PL
analizować,będziecie brudzili,0.22576613667106626,V;FUT;2;PL;MASC;HUM
analizować,oddaliśmy,0.14442865417290762,V;PST;1;PL;MASC;HUM
analizować,będziecie słyszały,0.19378045360624774,V;FUT;2;PL
analizować,będę łudził,0.26246843626090155,V;FUT;1;SG;MASC
analizować,kopiowaliśmy,0.3071775277155031,V;PST;1;PL;MASC;HUM
analizować,będzie ściągało,0.25049360973585566,V;FUT;3;SG;NEUT
analizować,kicał,0.049237543102485626,V;PST;3;SG;MASC
analizować,staracie,0.28445224457370566,V;PRS;2;PL
analizować,będzie edytowało,0.28267961989539736,V;FUT;3;SG;NEUT
atakować,dzierżymy,0.34673892946798623,V;PRS;1;PL
atakować,unikała,0.30838627963662346,V;PST;3;SG;FEM
atakować,nazywałem,0.24833674000559036,V;PST;1;SG;MASC
atakować,chwieje,0.24164610453598556,V;PRS;3;SG
atakować,będziecie eksperymentowali,0.2756193160102419,V;FUT;2;PL;MASC;HUM
atakować,rozmyślałyście,0.14936866498884982,V;PST;2;PL
atakować,będzie poiła,0.2419412322548511,V;FUT;3;SG;FEM
atakować,będziesz rozpaczała,0.28366796096405733,V;FUT;2;SG;FEM
atakować,łaknęło,0.2726381513286644,V;PST;3;SG;NEUT
atakować,postradasz,0.24415967366568347,V;FUT;2;SG
atakować,obciążałeś,0.31592239790322063,V;PST;2;SG;MASC
atakować,umierała,0.21432279579448466,V;PST;3;SG;FEM
atakować,wyloguje,0.21462300909546905,V;FUT;3;SG
atakować,dbałyście,0.20554157202427314,V;PST;2;PL
atakować,ryczała,0.24279109586507752,V;PST;3;SG;FEM
atakować,zarezerwowało,0.18064381803238372,V;PST;3;SG;NEUT
atakować,dąsał,0.18701358827483516,V;PST;3;SG;MASC
atakować,demontowaliśmy,0.33654115132415985,V;PST;1;PL;MASC;HUM
atakować,będzie płakało,0.23439342959540688,V;FUT;3;SG;NEUT
atakować,będzie wracało,0.23599008413327138,V;FUT;3;SG;NEUT
atakować,wysiadłem,0.22213880246409834,V;PST;1;SG;MASC
atakować,numerował,0.26709995695801103,V;PST;3;SG;MASC
atakować,pojawiała,0.26552296896304584,V;PST;3;SG;FEM
atakować,będziecie negocjowały,0.21087557828674575,V;FUT;2;PL
atakować,buchało,0.19731801549266748,V;PST;3;SG;NEUT
atakować,będą rzucali,0.2828072543415405,V;FUT;3;PL;MASC;HUM
atakować,przeprowadzała,0.25169032286315984,V;PST;3;SG;FEM
atakować,rozproszyłyśmy,0.2743234902599634,V;PST;1;PL
atakować,wkurwiałeś,0.23192399726171486,V;PST;2;SG;MASC
atakować,czyszczą,0.24176350294736237,V;PRS;3;PL
atakować,będziesz drapał,0.3034331959027394,V;FUT;2;SG;MASC
atakować,refowałeś,0.19236731015561614,V;PST;2;SG;MASC
badać,wyglądam,0.14489767969407752,V;PRS;1;SG
badać,łudził,0.1742915899410461,V;PST;3;SG;MASC
badać,zaproszę,0.12801009573794297,V;FUT;1;SG
badać,nękaliśmy,0.3108186341054552,V;PST;1;PL;MASC;HUM
badać,chwiały,0.1821909487192237,V;PST;3;PL
badać,korzystałaś,0.15409666111519493,V;PST;2;SG;FEM
badać,śniadał,0.23883166114556775,V;PST;3;SG;MASC
badać,będziemy obciążali,0.18280322030608165,V;FUT;1;PL;MASC;HUM
badać,tłumaczyłem,0.2847300288317003,V;PST;1;SG;MASC
badać,ziewają,0.20770836980921392,V;PRS;3;PL
badać,rozwijałem,0.30826857753301873,V;PST;1;SG;MASC
badać,znosiłyście,0.18988519348118804,V;PST;2;PL
badać,zaproszą,0.18653019203865406,V;FUT;3;PL
badać,będziemy cytowali,0.1968293269087178,V;FUT;1;PL;MASC;HUM
badać,będzie szantażowała,0.18337905961709267,V;FUT;3;SG;FEM
badać,brodziło,0.20200981118055394,V;PST;3;SG;NEUT
badać,będziesz kłusował,0.2099090836566897,V;FUT;2;SG;MASC
badać,pisał,0.17737586259366733,V;PST;3;SG;MASC
badać,czaił,0.14447693961018404,V;PST;3;SG;MASC
badać,otworzyłyście,0.23256091722846084,V;PST;2;PL
badać,będziemy oświetlały,0.2522362144016457,V;FUT;1;PL
badać,będzie pokazywał,0.23319689874994187,V;FUT;3;SG;MASC
badać,wędrują,0.2309671588485992,V;PRS;3;PL
badać,będą schowały,0.1853829973288672,V;FUT;3;PL
badać,odebraliście,0.15587950277244733,V;PST;2;PL;MASC;HUM
badać,puściłam,0.15777632233854622,V;PST;1;SG;FEM
badać,demontowałyśmy,0.25281524109291986,V;PST;1;PL
badać,klika,0.12975684653126907,V;PRS;3;SG
badać,będziecie milczeli,0.18940746442052814,V;FUT;2;PL;MASC;HUM
badać,będziemy szczerzyły,0.20066598481926623,V;FUT;1;PL
badać,będziesz pytał,0.20005951721400028,V;FUT;2;SG;MASC
badać,karmili,0.22090867259864544,V;PST;3;PL;MASC;HUM
banglać,będę łaził,0.2953970407317792,V;FUT;1;SG;MASC
banglać,będę uczyła,0.2746049079609918,V;FUT;1;SG;FEM
banglać,brzęczałyście,0.19336669351727098,V;PST;2;PL
banglać,identyfikuję,0.1385396325453665,V;PRS;1;SG
banglać,zmyśliłaś,0.20538240816463538,V;PST;2;SG;FEM
banglać,rozważałaś,0.08245312368328828,V;PST;2;SG;FEM
banglać,będzie dupczył,0.21787361319245768,V;FUT;3;SG;MASC
banglać,kosiliście,0.15063306226120876,V;PST;2;PL;MASC;HUM
banglać,przyprawiałeś,0.1843454901744992,V;PST;2;SG;MASC
banglać,ogoliłem,0.138210710143313,V;PST;1;SG;MASC
banglać,uwiodły,0.08312623116468121,V;PST;3;PL
banglać,parskałaś,0.14375792681716226,V;PST;2;SG;FEM
banglać,będziemy znosili,0.21459248378429396,V;FUT;1;PL;MASC;HUM
banglać,posiadałyście,0.18651080005590104,V;PST;2;PL
banglać,będę męczył,0.3180690487300235,V;FUT;1;SG;MASC
banglać,klękało,0.169787393655503,V;PST;3;SG;NEUT
banglać,kroiło,0.2097652337794217,V;PST;3;SG;NEUT
banglać,będzie gotował,0.22396737441765857,V;FUT;3;SG;MASC
banglać,będzie rozważał,0.17220932805772726,V;FUT;3;SG;MASC
banglać,wyświetlają,0.172496226919721,V;PRS;3;PL
banglać,będą mieszali,0.17547972839545367,V;FUT;3;PL;MASC;HUM
banglać,mknęły,0.09986311330263176,V;PST;3;PL
