pivot,inflection,similarity,category
oler,huelo,0.6341929,V;IND;PRS;1;SG
oler,hueles,0.5954211,V;IND;PRS;2;SG;INFM
oler,huele,0.6109412,V;IND;PRS;3;SG
oler,olemos,0.63808656,V;IND;PRS;1;PL
oler,oléis,0.76971537,V;IND;PRS;2;PL
oler,huelen,0.6092917,V;IND;PRS;3;PL
oler,olía,0.75892293,V;IND;PST;IPFV;1;SG
oler,olías,0.7360931,V;IND;PST;IPFV;2;SG;INFM
oler,olía,0.75892293,V;IND;PST;IPFV;3;SG
oler,olíamos,0.7355706,V;IND;PST;IPFV;1;PL
oler,olíais,0.779229,V;IND;PST;IPFV;2;PL
oler,olían,0.75081486,V;IND;PST;IPFV;3;PL
oler,oleré,0.91124356,V;IND;FUT;1;SG
oler,olerás,0.9018832,V;IND;FUT;2;SG;INFM
oler,olerá,0.83427143,V;IND;FUT;3;SG
oler,oleremos,0.8866164,V;IND;FUT;1;PL
oler,oleréis,0.86077064,V;IND;FUT;2;PL
oler,olerán,0.91129744,V;IND;FUT;3;PL
prometer,prometo,0.8810879,V;IND;PRS;1;SG
prometer,prometes,0.86631936,V;IND;PRS;2;SG;INFM
prometer,promete,0.8596828,V;IND;PRS;3;SG
prometer,prometemos,0.8417997,V;IND;PRS;1;PL
prometer,prometéis,0.7829683,V;IND;PRS;2;PL
prometer,prometen,0.8698986,V;IND;PRS;3;PL
prometer,prometía,0.7974746,V;IND;PST;IPFV;1;SG
prometer,prometías,0.77862763,V;IND;PST;IPFV;2;SG;INFM
prometer,prometía,0.7974746,V;IND;PST;IPFV;3;SG
prometer,prometíamos,0.80595106,V;IND;PST;IPFV;1;PL
prometer,prometíais,0.7875759,V;IND;PST;IPFV;2;PL
prometer,prometían,0.7885268,V;IND;PST;IPFV;3;PL
prometer,prometeré,0.9178921,V;IND;FUT;1;SG
prometer,prometerás,0.91267115,V;IND;FUT;2;SG;INFM
prometer,prometerá,0.9040714,V;IND;FUT;3;SG
prometer,prometeremos,0.9010119,V;IND;FUT;1;PL
prometer,prometeréis,0.8682309,V;IND;FUT;2;PL
prometer,prometerán,0.8961051,V;IND;FUT;3;PL
avalar,avalo,0.8461773,V;IND;PRS;1;SG
avalar,avalas,0.86006117,V;IND;PRS;2;SG;INFM
avalar,avala,0.88124764,V;IND;PRS;3;SG
avalar,avalamos,0.830599,V;IND;PRS;1;PL
avalar,avaláis,0.8432473,V;IND;PRS;2;PL
avalar,avalan,0.882161,V;IND;PRS;3;PL
avalar,avalaba,0.85306114,V;IND;PST;IPFV;1;SG
avalar,avalabas,0.8280618,V;IND;PST;IPFV;2;SG;INFM
avalar,avalaba,0.85306114,V;IND;PST;IPFV;3;SG
avalar,avalábamos,0.78874487,V;IND;PST;IPFV;1;PL
avalar,avalabais,0.8037833,V;IND;PST;IPFV;2;PL
avalar,avalaban,0.8207337,V;IND;PST;IPFV;3;PL
avalar,avalaré,0.86902034,V;IND;FUT;1;SG
avalar,avalarás,0.92429906,V;IND;FUT;2;SG;INFM
avalar,avalará,0.843058,V;IND;FUT;3;SG
avalar,avalaremos,0.77983636,V;IND;FUT;1;PL
avalar,avalaréis,0.8623065,V;IND;FUT;2;PL
avalar,avalarán,0.8121267,V;IND;FUT;3;PL
dormir,duermo,0.80299294,V;IND;PRS;1;SG
dormir,duermes,0.77830875,V;IND;PRS;2;SG;INFM
dormir,duerme,0.7556884,V;IND;PRS;3;SG
