pivot,inflection,P-I similarity,category
abonować,abonowałam,0.7147101309327195,V;PST;1;SG;FEM
abonować,abonowałaś,0.6747903153221797,V;PST;2;SG;FEM
abonować,abonowała,0.7263891496929668,V;PST;3;SG;FEM
abonować,abonowałem,0.7223489569630921,V;PST;1;SG;MASC
abonować,abonowałeś,0.6658517936425166,V;PST;2;SG;MASC
abonować,abonowaliście,0.650468503151585,V;PST;2;PL;MASC;HUM
abonować,abonowaliśmy,0.7086891119405067,V;PST;1;PL;MASC;HUM
abonować,abonowali,0.7339763602080537,V;PST;3;PL;MASC;HUM
abonować,abonowało,0.7311889535159305,V;PST;3;SG;NEUT
abonować,abonował,0.7451592698930787,V;PST;3;SG;MASC
abonować,abonowałyście,0.6164957440955071,V;PST;2;PL
abonować,abonowałyśmy,0.6385060576094852,V;PST;1;PL
abonować,abonowały,0.7363195329177686,V;PST;3;PL
abonować,abonują,0.5898756677279449,V;PRS;3;PL
abonować,abonujecie,0.5133644387893374,V;PRS;2;PL
abonować,abonujemy,0.6067131031332493,V;PRS;1;PL
abonować,abonujesz,0.5655300812307678,V;PRS;2;SG
abonować,abonuję,0.5168388382639982,V;PRS;1;SG
abonować,abonuje,0.6054137517832072,V;PRS;3;SG
abonować,będą abonowali,0.5695391863349819,V;FUT;3;PL;MASC;HUM
abonować,będą abonowały,0.5696902461055046,V;FUT;3;PL
abonować,będę abonowała,0.613188013759668,V;FUT;1;SG;FEM
abonować,będę abonował,0.6083943601434195,V;FUT;1;SG;MASC
abonować,będzie abonowała,0.5126236824837871,V;FUT;3;SG;FEM
abonować,będzie abonowało,0.5167968119814824,V;FUT;3;SG;NEUT
abonować,będzie abonował,0.5197422146502705,V;FUT;3;SG;MASC
abonować,będziecie abonowali,0.496949972338375,V;FUT;2;PL;MASC;HUM
abonować,będziecie abonowały,0.48957739473250017,V;FUT;2;PL
abonować,będziemy abonowali,0.5043653572156284,V;FUT;1;PL;MASC;HUM
abonować,będziemy abonowały,0.4985945524819497,V;FUT;1;PL
abonować,będziesz abonowała,0.5675366827407304,V;FUT;2;SG;FEM
abonować,będziesz abonował,0.563635203808689,V;FUT;2;SG;MASC
absorbować,absorbowałam,0.591828336870873,V;PST;1;SG;FEM
absorbować,absorbowałaś,0.5686457695279775,V;PST;2;SG;FEM
absorbować,absorbowała,0.6310335782490247,V;PST;3;SG;FEM
absorbować,absorbowałem,0.597214932951249,V;PST;1;SG;MASC
absorbować,absorbowałeś,0.5601567015038095,V;PST;2;SG;MASC
absorbować,absorbowaliście,0.5690356427304978,V;PST;2;PL;MASC;HUM
absorbować,absorbowaliśmy,0.5863551241992961,V;PST;1;PL;MASC;HUM
absorbować,absorbowali,0.6166829412050004,V;PST;3;PL;MASC;HUM
absorbować,absorbowało,0.6280505245666712,V;PST;3;SG;NEUT
absorbować,absorbował,0.6843992301895987,V;PST;3;SG;MASC
absorbować,absorbowałyście,0.5174247201365806,V;PST;2;PL
absorbować,absorbowałyśmy,0.5363403608070448,V;PST;1;PL
absorbować,absorbowały,0.6441735912279655,V;PST;3;PL
absorbować,absorbują,0.5427591962743544,V;PRS;3;PL
absorbować,absorbujecie,0.44019734899057217,V;PRS;2;PL
absorbować,absorbujemy,0.45249291352589305,V;PRS;1;PL
absorbować,absorbujesz,0.43613287530552913,V;PRS;2;SG
absorbować,absorbuję,0.4715791018483543,V;PRS;1;SG
absorbować,absorbuje,0.5719063111394128,V;PRS;3;SG
absorbować,będą absorbowali,0.48506595546510556,V;FUT;3;PL;MASC;HUM
absorbować,będą absorbowały,0.47774431224567404,V;FUT;3;PL
absorbować,będę absorbowała,0.4917920570691128,V;FUT;1;SG;FEM
absorbować,będę absorbował,0.5025187966874616,V;FUT;1;SG;MASC
absorbować,będzie absorbowała,0.45598859372738354,V;FUT;3;SG;FEM
absorbować,będzie absorbowało,0.4621941080054759,V;FUT;3;SG;NEUT
absorbować,będzie absorbował,0.4771253163747906,V;FUT;3;SG;MASC
absorbować,będziecie absorbowali,0.4545258097510503,V;FUT;2;PL;MASC;HUM
absorbować,będziecie absorbowały,0.4431900272342082,V;FUT;2;PL
absorbować,będziemy absorbowali,0.41407837871037634,V;FUT;1;PL;MASC;HUM
absorbować,będziemy absorbowały,0.40387727376879035,V;FUT;1;PL
absorbować,będziesz absorbowała,0.4446785151137934,V;FUT;2;SG;FEM
absorbować,będziesz absorbował,0.4560759094163307,V;FUT;2;SG;MASC
analizować,analizowałam,0.5203938898519137,V;PST;1;SG;FEM
analizować,analizowałaś,0.48114297429453234,V;PST;2;SG;FEM
analizować,analizowała,0.5293797403732452,V;PST;3;SG;FEM
analizować,analizowałem,0.504390752406411,V;PST;1;SG;MASC
analizować,analizowałeś,0.46434189657497704,V;PST;2;SG;MASC
analizować,analizowaliście,0.4445770608226468,V;PST;2;PL;MASC;HUM
analizować,analizowaliśmy,0.5151765586480315,V;PST;1;PL;MASC;HUM
analizować,analizowali,0.5098125476249429,V;PST;3;PL;MASC;HUM
analizować,analizowało,0.51916137870084,V;PST;3;SG;NEUT
analizować,analizował,0.5739827327357531,V;PST;3;SG;MASC
analizować,analizowałyście,0.4054778748573703,V;PST;2;PL
analizować,analizowałyśmy,0.4503883176283461,V;PST;1;PL
analizować,analizowały,0.5394221829119825,V;PST;3;PL
analizować,analizują,0.5601510459541786,V;PRS;3;PL
analizować,analizujecie,0.47223413425223315,V;PRS;2;PL
analizować,analizujemy,0.5432075830770133,V;PRS;1;PL
analizować,analizujesz,0.5847225258893501,V;PRS;2;SG
analizować,analizuję,0.5780437034022349,V;PRS;1;SG
analizować,analizuje,0.5888248561427362,V;PRS;3;SG
analizować,będą analizowali,0.3748493804768389,V;FUT;3;PL;MASC;HUM
analizować,będą analizowały,0.379424765762829,V;FUT;3;PL
analizować,będę analizowała,0.39127373006220245,V;FUT;1;SG;FEM
analizować,będę analizował,0.39746044899737365,V;FUT;1;SG;MASC
analizować,będzie analizowała,0.3450664962344717,V;FUT;3;SG;FEM
analizować,będzie analizowało,0.3557569142227941,V;FUT;3;SG;NEUT
analizować,będzie analizował,0.35751014041669116,V;FUT;3;SG;MASC
analizować,będziecie analizowali,0.3492713437480055,V;FUT;2;PL;MASC;HUM
analizować,będziecie analizowały,0.34507527307840213,V;FUT;2;PL
analizować,będziemy analizowali,0.3192460187292159,V;FUT;1;PL;MASC;HUM
analizować,będziemy analizowały,0.3189654061813447,V;FUT;1;PL
analizować,będziesz analizowała,0.36330914327157693,V;FUT;2;SG;FEM
analizować,będziesz analizował,0.37179996627988743,V;FUT;2;SG;MASC
atakować,atakowałam,0.530379317464348,V;PST;1;SG;FEM
atakować,atakowałaś,0.4910039326093172,V;PST;2;SG;FEM
atakować,atakowała,0.5924243813346739,V;PST;3;SG;FEM
atakować,atakowałem,0.5834617670540583,V;PST;1;SG;MASC
atakować,atakowałeś,0.4976328868130697,V;PST;2;SG;MASC
atakować,atakowaliście,0.5081784970521394,V;PST;2;PL;MASC;HUM
atakować,atakowaliśmy,0.5646553701170828,V;PST;1;PL;MASC;HUM
atakować,atakowali,0.6038144093480051,V;PST;3;PL;MASC;HUM
atakować,atakowało,0.5776138976818133,V;PST;3;SG;NEUT
atakować,atakował,0.6411265795829278,V;PST;3;SG;MASC
atakować,atakowałyście,0.42824815778750036,V;PST;2;PL
atakować,atakowałyśmy,0.4834206011963318,V;PST;1;PL
atakować,atakowały,0.5973739507746724,V;PST;3;PL
atakować,atakują,0.6348407820722153,V;PRS;3;PL
atakować,atakujecie,0.4684686850584714,V;PRS;2;PL
atakować,atakujemy,0.5799641891103839,V;PRS;1;PL
atakować,atakujesz,0.5115897412398694,V;PRS;2;SG
