pivot,inflection,similarity,category
oler,huelo,0.89755553,V;IND;PRS;1;SG
oler,hueles,0.902491,V;IND;PRS;2;SG;INFM
oler,huele,0.8882824,V;IND;PRS;3;SG
oler,olemos,0.9271516,V;IND;PRS;1;PL
oler,oléis,0.88532263,V;IND;PRS;2;PL
oler,huelen,0.8854581,V;IND;PRS;3;PL
oler,olía,0.91345143,V;IND;PST;IPFV;1;SG
oler,olías,0.9087252,V;IND;PST;IPFV;2;SG;INFM
oler,olía,0.91345143,V;IND;PST;IPFV;3;SG
oler,olíamos,0.87917215,V;IND;PST;IPFV;1;PL
oler,olíais,0.89044124,V;IND;PST;IPFV;2;PL
oler,olían,0.92028195,V;IND;PST;IPFV;3;PL
oler,oleré,0.9280594,V;IND;FUT;1;SG
oler,olerás,0.9297057,V;IND;FUT;2;SG;INFM
oler,olerá,0.93372095,V;IND;FUT;3;SG
oler,oleremos,0.9248961,V;IND;FUT;1;PL
oler,oleréis,0.9083433,V;IND;FUT;2;PL
oler,olerán,0.91387796,V;IND;FUT;3;PL
prometer,prometo,0.92556965,V;IND;PRS;1;SG
prometer,prometes,0.91722184,V;IND;PRS;2;SG;INFM
prometer,promete,0.9294305,V;IND;PRS;3;SG
prometer,prometemos,0.90687287,V;IND;PRS;1;PL
prometer,prometéis,0.9167023,V;IND;PRS;2;PL
prometer,prometen,0.91083753,V;IND;PRS;3;PL
prometer,prometía,0.91698855,V;IND;PST;IPFV;1;SG
prometer,prometías,0.9114821,V;IND;PST;IPFV;2;SG;INFM
prometer,prometía,0.91698855,V;IND;PST;IPFV;3;SG
prometer,prometíamos,0.90304416,V;IND;PST;IPFV;1;PL
prometer,prometíais,0.8953508,V;IND;PST;IPFV;2;PL
prometer,prometían,0.9058365,V;IND;PST;IPFV;3;PL
prometer,prometeré,0.91626865,V;IND;FUT;1;SG
prometer,prometerás,0.9459267,V;IND;FUT;2;SG;INFM
prometer,prometerá,0.9297325,V;IND;FUT;3;SG
prometer,prometeremos,0.93389183,V;IND;FUT;1;PL
prometer,prometeréis,0.9153611,V;IND;FUT;2;PL
prometer,prometerán,0.94312054,V;IND;FUT;3;PL
avalar,avalo,0.96500707,V;IND;PRS;1;SG
avalar,avalas,0.9551898,V;IND;PRS;2;SG;INFM
avalar,avala,0.96429944,V;IND;PRS;3;SG
avalar,avalamos,0.95661634,V;IND;PRS;1;PL
avalar,avaláis,0.95037675,V;IND;PRS;2;PL
avalar,avalan,0.9730261,V;IND;PRS;3;PL
avalar,avalaba,0.9242014,V;IND;PST;IPFV;1;SG
avalar,avalabas,0.941279,V;IND;PST;IPFV;2;SG;INFM
avalar,avalaba,0.9242014,V;IND;PST;IPFV;3;SG
avalar,avalábamos,0.9317687,V;IND;PST;IPFV;1;PL
avalar,avalabais,0.93184114,V;IND;PST;IPFV;2;PL
avalar,avalaban,0.9618017,V;IND;PST;IPFV;3;PL
avalar,avalaré,0.95022535,V;IND;FUT;1;SG
avalar,avalarás,0.9769988,V;IND;FUT;2;SG;INFM
avalar,avalará,0.9397062,V;IND;FUT;3;SG
avalar,avalaremos,0.95898354,V;IND;FUT;1;PL
avalar,avalaréis,0.94925356,V;IND;FUT;2;PL
avalar,avalarán,0.9402859,V;IND;FUT;3;PL
dormir,duermo,0.92011803,V;IND;PRS;1;SG
dormir,duermes,0.9072364,V;IND;PRS;2;SG;INFM
dormir,duerme,0.92280966,V;IND;PRS;3;SG
dormir,dormimos,0.8630481,V;IND;PRS;1;PL
dormir,duermen,0.9339936,V;IND;PRS;3;PL
dormir,dormía,0.9269629,V;IND;PST;IPFV;1;SG
dormir,dormías,0.9328841,V;IND;PST;IPFV;2;SG;INFM
dormir,dormía,0.9269629,V;IND;PST;IPFV;3;SG
dormir,dormíamos,0.9250747,V;IND;PST;IPFV;1;PL
dormir,dormíais,0.8953381,V;IND;PST;IPFV;2;PL
dormir,dormían,0.9273296,V;IND;PST;IPFV;3;PL
dormir,dormiré,0.95848566,V;IND;FUT;1;SG
dormir,dormirás,0.96639085,V;IND;FUT;2;SG;INFM
dormir,dormirá,0.96875674,V;IND;FUT;3;SG
dormir,dormiremos,0.95988333,V;IND;FUT;1;PL
dormir,dormiréis,0.94490117,V;IND;FUT;2;PL
dormir,dormirán,0.9655172,V;IND;FUT;3;PL
acumular,acumulo,0.9553801,V;IND;PRS;1;SG
acumular,acumulas,0.94243973,V;IND;PRS;2;SG;INFM
acumular,acumula,0.9621766,V;IND;PRS;3;SG
acumular,acumulamos,0.9330947,V;IND;PRS;1;PL
acumular,acumuláis,0.9141147,V;IND;PRS;2;PL
acumular,acumulan,0.94826186,V;IND;PRS;3;PL
acumular,acumulaba,0.9632951,V;IND;PST;IPFV;1;SG
acumular,acumulabas,0.9532747,V;IND;PST;IPFV;2;SG;INFM
acumular,acumulaba,0.9632951,V;IND;PST;IPFV;3;SG
acumular,acumulábamos,0.9219794,V;IND;PST;IPFV;1;PL
acumular,acumulabais,0.9431369,V;IND;PST;IPFV;2;PL
acumular,acumulaban,0.95993984,V;IND;PST;IPFV;3;PL
acumular,acumularé,0.9354751,V;IND;FUT;1;SG
acumular,acumularás,0.9342187,V;IND;FUT;2;SG;INFM
acumular,acumulará,0.95778346,V;IND;FUT;3;SG
acumular,acumularemos,0.91508704,V;IND;FUT;1;PL
acumular,acumularéis,0.91583437,V;IND;FUT;2;PL
acumular,acumularán,0.9448133,V;IND;FUT;3;PL
encadenar,encadeno,0.9517245,V;IND;PRS;1;SG
encadenar,encadenas,0.95770043,V;IND;PRS;2;SG;INFM
encadenar,encadena,0.94889313,V;IND;PRS;3;SG
encadenar,encadenamos,0.9537547,V;IND;PRS;1;PL
encadenar,encadenáis,0.9421701,V;IND;PRS;2;PL
encadenar,encadenan,0.9715013,V;IND;PRS;3;PL
encadenar,encadenaba,0.93073225,V;IND;PST;IPFV;1;SG
