pivot,derivation,similarity,category,affix
industria,industrial,0.9103678,N:ADJ,-al
PAN,panista,0.87686497,N:ADJ,-ista
mente,mental,0.9032482,V:ADJ,-al
sombra,sombrero,0.9247036,N:N,-ero
coro,coral,0.9358372,N:ADJ,-al
mosca,mosquito,0.9473598,N:N,-ito
matar,matador,0.923447,N:N,-dor
elegante,elegantemente,0.91247755,ADJ:ADV,-mente
rápido,rápidamente,0.9094452,ADJ:ADV,-mente
chingar,chingón,0.94892687,V:ADJ,-ón
acreditar,acreditación,0.97214955,V:N,-ción
vena,venal,0.960049,N:ADJ,-al
rectángulo,rectangular,0.90514904,N:ADJ,-ar
nucleo,nuclear,0.8974662,V:ADJ,-ar
cerebro,cerebral,0.9154446,N:ADJ,-al
suelto,soltar,0.9303537,ADJ:V,-ar
ángulo,angular,0.8731181,N:V,-ar
ornamento,ornamental,0.8821834,N:ADJ,-al
data,datar,0.94279945,N:V,-ar
diluvio,diluvial,0.9477904,N:ADJ,-al
serie,serial,0.87883884,N:ADJ,-al
descubrir,descubrimiento,0.9270709,V:N,-miento
función,funcionar,0.85529506,N:V,-ar
fiero,feral,0.93672127,ADJ:ADJ,-al
mora,moral,0.9114415,N:N,-al
abuso,abusar,0.95940834,N:V,-ar
chaqueta,chaquetear,0.945034,N:V,-ear
sisa,sisar,0.97123176,N:V,-ar
conocer,conocimiento,0.9316274,V:N,-miento
despertar,despertador,0.96939695,N:N,-dor
ala,alar,0.9553671,N:ADJ,-ar
La Habana,habanero,0.882669,N:ADJ,-ero
raza,racismo,0.8656972,V:N,-ismo
lógica,logical,0.89251226,N:ADJ,-al
preciar,despreciar,0.89896554,V:V,des-
mosquito,mosquitero,0.96278125,N:N,-ero
boya,boyar,0.9733287,N:V,-ar
virus,viral,0.9382189,N:ADJ,-al
continente,continental,0.8943331,N:ADJ,-al
fino,finito,0.8458545,ADJ:ADJ,-ito
rata,ratón,0.8773558,N:N,-ón
marina,marinero,0.90579456,N:N,-ero
incentivo,incentivar,0.9578764,ADJ:V,-ar
burro,burrito,0.9787884,N:N,-ito
comprar,comprador,0.9054366,V:ADJ,-dor
molécula,molecular,0.886831,N:ADJ,-ar
alvéolo,alveolar,0.9121853,N:ADJ,-ar
cultura,cultural,0.9256017,N:ADJ,-al
trópico,tropical,0.87240607,ADJ:ADJ,-al
octágono,octagonal,0.9374523,N:ADJ,-al
adición,adicionar,0.9391247,N:V,-ar
fin,finar,0.9030701,N:V,-ar
semicírculo,semicircular,0.94208986,N:ADJ,-ar
colonia,colonial,0.92918813,N:ADJ,-al
dialecto,dialectal,0.9511586,N:ADJ,-al
perico,periquito,0.94609886,ADJ:N,-ito
sala,salón,0.9035462,N:N,-ón
zapato,zapatero,0.9518369,N:ADJ,-ero
zigzag,zigzaguear,0.9666156,N:V,-ear
zoología,zoológico,0.76955867,N:ADJ,-ico
vaca,vaquero,0.9574886,N:N,-ero
muro,mural,0.95042545,N:ADJ,-al
útil,útilmente,0.9037759,ADJ:ADV,-mente
utilizar,utilización,0.9073197,V:N,-ción
uso,usar,0.9002899,N:V,-ar
urbanizar,urbanización,0.9471047,V:N,-ción
urgente,urgentemente,0.8752159,ADJ:ADV,-mente
ulterior,ulteriormente,0.9117512,ADJ:ADV,-mente
último,últimamente,0.9268614,ADJ:ADV,-mente
unánime,unánimemente,0.9192875,ADJ:ADV,-mente
universal,universalmente,0.92449796,ADJ:ADV,-mente
cabo,cabal,0.9405134,N:ADJ,-al
posta,postal,0.8656012,N:ADJ,-al
macho,machismo,0.9204073,ADJ:N,-ismo
bacteria,bacterial,0.9335899,N:ADJ,-al
civilizar,civilización,0.9423783,V:N,-ción
cubrir,descubrir,0.9518994,V:V,des-
caballo,caballar,0.92164665,N:ADJ,-ar
saber,sabedor,0.93447894,N:ADJ,-dor
sabio,sabiamente,0.9178941,N:ADV,-mente
sabor,saborear,0.96096337,N:V,-ear
jabón,jabonar,0.94996274,N:V,-ar
hala,jalear,0.91295063,V:V,-ear
jarana,jaranear,0.9487984,N:V,-ear
jardín,jardinero,0.90731144,N:N,-ero
jarro,jarrón,0.9634256,N:N,-ón
jinete,jinetear,0.96600664,N:V,-ar
jocoso,jocosamente,0.93771774,ADJ:ADV,-mente
jornal,jornalero,0.91979504,N:N,-ero
jovial,jovialmente,0.92912847,ADJ:ADV,-mente
joya,joyero,0.94260544,N:N,-ero
judicial,judicialmente,0.89244246,ADJ:ADV,-mente
juerga,juerguista,0.96831495,N:N,-ista
jugar,jugador,0.9119955,V:N,-dor
juguete,juguetear,0.9641682,N:V,-ar
juguetón,juguetonamente,0.9394627,ADJ:ADV,-mente
junto,juntamente,0.94900846,ADJ:ADV,-mente
justo,justamente,0.9314101,ADJ:ADV,-mente
justicia,justiciero,0.9501118,N:ADJ,-ero
justificar,justificación,0.8734662,V:N,-ción
quebrantar,quebrantamiento,0.96089697,V:N,-miento
burla,burlar,0.91921526,N:V,-ar
verdad,verdadero,0.9445071,N:ADJ,-ero
testículo,testicular,0.86788106,N:ADJ,-ar
quemar,quemador,0.95521003,V:ADJ,-dor
quirúrgico,quirúrgicamente,0.9240898,ADJ:ADV,-mente
ñoño,ñoñear,0.92646366,ADJ:V,-ear
falta,faltar,0.9485285,N:V,-ar
secretario,secretarial,0.9028983,N:ADJ,-al
elector,electoral,0.83143544,N:ADJ,-al
dimensión,dimensional,0.8974351,N:ADJ,-al
cérvix,cervical,0.924507,N:ADJ,-al
península,peninsular,0.8766913,N:ADJ,-ar
arteria,arterial,0.8808434,N:ADJ,-al
estudio,estudiar,0.93538684,N:V,-ar
fijo,fijar,0.96444523,V:V,-ar
registro,registrar,0.8899076,N:V,-ar
paso,pasear,0.93916446,N:V,-ear
coloquio,coloquial,0.94740504,N:ADJ,-al
luchar,luchador,0.94397455,V:ADJ,-dor
territorio,territorial,0.87265724,N:ADJ,-al
acerbo,acerbamente,0.94521075,ADJ:ADV,-mente
tetrágono,tetragonal,0.9357436,N:ADJ,-al
estrena,estrenar,0.97889113,N:V,-ar
zodiaco,zodiacal,0.9763397,N:ADJ,-al
labrar,labrador,0.9525434,V:N,-dor
elemento,elemental,0.8804079,N:ADJ,-al
base,básico,0.8475861,N:ADJ,-ico
ducto,ductal,0.94337904,N:ADJ,-al
seguir,seguidor,0.9028157,V:N,-dor
concentrar,concentración,0.9277825,V:N,-ción
nacional,nacionalidad,0.9057944,ADJ:N,-idad
asociar,asociación,0.8543669,V:N,-ción
escuadra,escuadrón,0.91825926,N:N,-ón
enfrentar,enfrentamiento,0.8129006,V:N,-miento
organizar,organización,0.83516127,V:N,-ción
viajar,viajero,0.92661446,V:ADJ,-ero
vender,vendedor,0.9188251,V:N,-dor
seguro,seguridad,0.92140186,ADJ:N,-idad
acontecer,acontecimiento,0.8022948,V:N,-miento
negociar,negociación,0.92534286,V:N,-ción
activo,actividad,0.9255576,ADJ:N,-idad
procesar,procesamiento,0.9367234,V:N,-miento
invitar,invitación,0.95456785,V:N,-ción
voz,vocero,0.9053161,N:N,-ero
católico,catolicismo,0.9237208,ADJ:N,-ismo
guerrilla,guerrillero,0.83768255,N:ADJ,-ero
comercializar,comercialización,0.9165988,V:N,-ción
trámite,tramitar,0.92434627,N:V,-ar
presencia,presenciar,0.93587005,N:V,-ar
captura,capturar,0.8560303,N:V,-ar
relación,relacionar,0.9215988,N:V,-ar
abolir,abolición,0.8713164,V:N,-ción
exportar,exportación,0.94248986,V:N,-ción
poblar,población,0.833706,V:N,-ción
terror,terrorismo,0.9151013,N:N,-ismo
mover,movimiento,0.91663545,V:N,-miento
pelota,pelotero,0.951226,N:N,-ero
proceder,procedimiento,0.92690265,V:N,-miento
educar,educación,0.8532997,V:N,-ción
urbano,urbanismo,0.90296644,ADJ:N,-ismo
periódico,periodista,0.9036513,N:N,-ista
embajada,embajador,0.9167315,N:N,-dor
detener,detención,0.9309647,V:N,-ción
pasaje,pasajero,0.93953544,N:ADJ,-ero
ropa,ropero,0.8939456,N:ADJ,-ero
silla,sillón,0.94625556,N:N,-ón
colcha,colchón,0.97250754,N:N,-ón
caja,cajón,0.9385521,N:N,-ón
tocar,tocador,0.935824,V:N,-dor
comer,comedor,0.9486689,N:N,-dor
votar,votación,0.90546536,V:N,-ción
análisis,analista,0.90848386,N:N,-ista
pueblo,poblar,0.89293003,N:V,-ar
azúcar,azucarero,0.89291704,N:ADJ,-ero
percha,perchero,0.94127214,N:N,-ero
paraguas,paragüero,0.93830407,N:N,-ero
escala,escalón,0.9148454,N:N,-ón
caballo,caballero,0.92211974,N:N,-ero
casa,casamiento,0.92863506,N:N,-miento
integrar,integración,0.85756993,V:N,-ción
movilización,desmovilización,0.9631511,ADJ:N,des-
legal,legalidad,0.90746444,ADJ:N,-idad
aguaza,aguacero,0.9728935,N:N,-ero
ala,alero,0.9054637,N:N,-ero
masificar,masificación,0.94060546,V:N,-ción
naturalizar,naturalización,0.91320324,V:N,-ción
absoluto,absolutismo,0.89343685,ADJ:N,-ismo
central,centralismo,0.8081697,ADJ:N,-ismo
empeñar,desempeñar,0.96064746,V:V,des-
aparecer,desaparecer,0.93190235,V:V,des-
negociar,negociador,0.8995938,V:ADJ,-dor
enriquecer,enriquecimiento,0.95390636,V:N,-miento
arrollar,desarrollar,0.8375152,V:V,des-
expreso,expresar,0.8518819,ADJ:V,-ar
federar,federación,0.9465442,V:N,-ción
ganar,ganador,0.90570486,V:ADJ,-dor
programa,programar,0.9534802,N:V,-ar
asesino,asesinar,0.93644273,ADJ:V,-ar
cintura,cinturón,0.89457667,N:N,-ón
plan,planear,0.94001067,N:V,-ear
bombarda,bombardear,0.9516875,V:V,-ear
sentir,sentimiento,0.8924909,V:N,-miento
acercar,acercamiento,0.9229848,V:N,-miento
compaña,compañero,0.9154415,N:N,-ero
violar,violación,0.9275627,V:N,-ción
penalizar,penalización,0.9398015,V:N,-ción
legislar,legislación,0.9073855,V:N,-ción
recomendar,recomendación,0.9506931,V:N,-ción
agrupar,agrupación,0.8797538,V:N,-ción
intenso,intensidad,0.86860794,N:N,-idad
oficina,oficinista,0.91849566,N:N,-ista
presión,presionar,0.87359416,N:V,-ar
prisión,prisionero,0.87947524,N:N,-ero
pelo,pelear,0.9289806,N:V,-ear
fútbol,futbolista,0.8589129,N:N,-ista
regular,regulación,0.89599866,ADJ:N,-ción
afable,afablemente,0.9604551,ADJ:ADV,-mente
aguja,agujero,0.95983595,N:N,-ero
documento,documental,0.8880935,N:N,-al
causa,causar,0.88137966,N:V,-ar
marca,marcar,0.86691487,N:V,-ar
encadenar,desencadenar,0.97232515,V:V,des-
particular,particularmente,0.8604959,ADJ:ADV,-mente
público,públicamente,0.9013518,N:ADV,-mente
alto,altamente,0.87358546,ADJ:ADV,-mente
deliberado,deliberadamente,0.88780344,ADJ:ADV,-mente
intencional,intencionalmente,0.9447016,ADJ:ADV,-mente
