pivot,inflection,similarity,category
abonować,abonowałam,0.9445251,V;PST;1;SG;FEM
abonować,abonowałaś,0.9141904,V;PST;2;SG;FEM
abonować,abonowała,0.95460516,V;PST;3;SG;FEM
abonować,abonowałem,0.94067514,V;PST;1;SG;MASC
abonować,abonowałeś,0.93259114,V;PST;2;SG;MASC
abonować,abonowaliście,0.9161164,V;PST;2;PL;MASC;HUM
abonować,abonowaliśmy,0.90668756,V;PST;1;PL;MASC;HUM
abonować,abonowali,0.893534,V;PST;3;PL;MASC;HUM
abonować,abonowało,0.95262855,V;PST;3;SG;NEUT
abonować,abonował,0.94150364,V;PST;3;SG;MASC
abonować,abonowałyście,0.9427565,V;PST;2;PL
abonować,abonowałyśmy,0.89605254,V;PST;1;PL
abonować,abonowały,0.9325375,V;PST;3;PL
abonować,abonują,0.9325366,V;PRS;3;PL
abonować,abonujecie,0.9095143,V;PRS;2;PL
abonować,abonujemy,0.9046277,V;PRS;1;PL
abonować,abonujesz,0.890083,V;PRS;2;SG
abonować,abonuję,0.9253436,V;PRS;1;SG
abonować,abonuje,0.89855343,V;PRS;3;SG
abonować,będą abonowali,0.9081672,V;FUT;3;PL;MASC;HUM
abonować,będą abonowały,0.9087552,V;FUT;3;PL
abonować,będę abonowała,0.9039443,V;FUT;1;SG;FEM
abonować,będę abonował,0.9102928,V;FUT;1;SG;MASC
abonować,będzie abonowała,0.88160396,V;FUT;3;SG;FEM
abonować,będzie abonowało,0.87799054,V;FUT;3;SG;NEUT
abonować,będzie abonował,0.8603221,V;FUT;3;SG;MASC
abonować,będziecie abonowali,0.90366715,V;FUT;2;PL;MASC;HUM
abonować,będziecie abonowały,0.87279886,V;FUT;2;PL
abonować,będziemy abonowali,0.89312077,V;FUT;1;PL;MASC;HUM
abonować,będziemy abonowały,0.83698636,V;FUT;1;PL
abonować,będziesz abonowała,0.8957445,V;FUT;2;SG;FEM
abonować,będziesz abonował,0.8978781,V;FUT;2;SG;MASC
absorbować,absorbowałam,0.96819144,V;PST;1;SG;FEM
absorbować,absorbowałaś,0.95798194,V;PST;2;SG;FEM
absorbować,absorbowała,0.93613964,V;PST;3;SG;FEM
absorbować,absorbowałem,0.9490978,V;PST;1;SG;MASC
absorbować,absorbowałeś,0.9490554,V;PST;2;SG;MASC
absorbować,absorbowaliście,0.8299023,V;PST;2;PL;MASC;HUM
