pivot,derivation,similarity,category,affix
axial,abaxial,0.348467280868886,ADJ:ADJ,ab-
Chiapas,chiapaneco,0.6867180527445119,N:ADJ,-eco
moral,amoral,0.5447809573017843,ADJ:ADJ,a-
ciento,centavo,0.2692672624528807,N:N,-avo
andar,andante,0.27272155726723746,V:ADJ,-ante
maquilar,maquiladora,0.5634209432687513,V:N,-dora
industria,industrial,0.5721969773470331,N:ADJ,-al
paz,paceño,0.12245752190224479,N:ADJ,-eño
ácido,acidosis,0.41615944619184164,ADJ:N,-osis
banca,bancario,0.6222779218595685,N:ADJ,-ario
PAN,panista,0.7483976326105531,N:ADJ,-ista
Chihuahua,chihuahuense,0.6128933317400596,N:ADJ,-ense
mente,mental,0.5356624668496712,V:ADJ,-al
Estados Unidos,estadounidense,0.2931536189850934,N:N,-ense
sombra,sombrero,0.32805018522014007,N:N,-ero
coro,coral,0.48058778698756777,N:ADJ,-al
mosca,mosquito,0.5862656099768461,N:N,-ito
balar,balido,0.6179955948479134,V:N,-ido
marica,mariquita,0.5262865905771019,N:N,-ita
jurar,juramento,0.6998040930858769,V:N,-mento
juzgar,juzgado,0.37750293181219463,V:N,-ado
juramentar,juramentado,0.718422831592114,V:N,-ado
matar,matador,0.4437832705540692,N:N,-dor
matar,matanza,0.41319928548878304,N:N,-anza
elegante,elegantemente,0.6431892675383049,ADJ:ADV,-mente
sangre,sangría,0.3332043248883191,N:N,-ía
ratón,ratoncito,0.5853902609008156,N:N,-cito
rápido,rápidamente,0.6354369791441209,ADJ:ADV,-mente
negociar,negociante,0.3776303509952522,V:N,-ante
controvertible,incontrovertible,0.6824960219120977,ADJ:ADJ,in-
ancho,anchor,0.1950550813924934,ADJ:N,-or
chingar,chingón,0.5534781793067851,V:ADJ,-ón
sexual,homosexual,0.6149382630042595,ADJ:ADJ,homo-
variable,invariable,0.49202931752909806,ADJ:ADJ,in-
cultural,multicultural,0.5947203894988145,ADJ:ADJ,multi-
amargo,amargura,0.6213881679573476,ADJ:N,-ura
acreditar,acreditación,0.6230396247091664,V:N,-ción
vena,venal,0.2198632286165768,N:ADJ,-al
rectángulo,rectangular,0.6350909266071789,N:ADJ,-ar
nucleo,nuclear,0.2948144113583733,V:ADJ,-ar
paloma,palomita,0.5750019697977439,N:N,-ita
cerebro,cerebral,0.6987582940783836,N:ADJ,-al
suelto,soltar,0.4219346700129246,ADJ:V,-ar
arrogar,arrogante,0.40228875882061077,V:ADJ,-ante
Cebú,Cebuano,0.4478751691201006,N:N,-ano
México,mexicano,0.6417608269141025,N:ADJ,-ano
adaptar,adaptable,0.5267494293908828,V:ADJ,-able
libro,librería,0.4442330261787997,N:N,-ería
sexual,heterosexual,0.6079385032465368,ADJ:ADJ,hetero-
ángulo,angular,0.5219573185733676,N:V,-ar
ornamento,ornamental,0.7283565006601544,N:ADJ,-al
sexual,bisexual,0.5280335598017829,ADJ:ADJ,bi-
data,datar,0.45165995618061694,N:V,-ar
diluvio,diluvial,0.6673627197973562,N:ADJ,-al
serie,serial,0.3563180451410213,N:ADJ,-al
escrito,escritor,0.38707838885632095,N:N,-or
descubrir,descubrimiento,0.4998903188655345,V:N,-miento
función,funcionar,0.37090910161683244,N:V,-ar
Madrid,madrileño,0.6418525935695868,N:ADJ,-eño
fiero,feral,0.3247794226648102,ADJ:ADJ,-al
mora,moral,0.25498508709472967,N:N,-al
abuso,abusar,0.5012965375501978,N:V,-ar
chaqueta,chaquetear,0.4658198809643852,N:V,-ear
cameral,bicameral,0.46408476174851254,ADJ:ADJ,bi-
albo,albino,0.28541224101165175,ADJ:ADJ,-ino
faja,fajita,0.5336819338074664,N:N,-ita
sisa,sisar,0.5219797795005491,N:V,-ar
conocer,conocimiento,0.4191293712121844,V:N,-miento
páncreas,pancreatitis,0.5318673597681621,N:N,-itis
Japón,japonés,0.6460374444468129,N:ADJ,-és
semita,antisemita,0.4979190282177547,N:ADJ,anti-
labial,bilabial,0.42838305359855533,ADJ:ADJ,bi-
bolso,bolsillo,0.532989431042182,N:N,-illo
espina,espinilla,0.3980469994944791,N:N,-illa
despertar,despertador,0.44645488915550335,N:N,-dor
ala,alar,0.5053921263071239,N:ADJ,-ar
Jalapa,jalapeño,0.22272067422126418,N:ADJ,-eño
La Habana,habanero,0.2601376349225113,N:ADJ,-ero
raza,racismo,0.36927084433606594,V:N,-ismo
pito,pitillo,0.34503551920106434,N:N,-illo
cuerno,cornada,0.2791537597319784,N:N,-ada
considerar,considerable,0.3454068449575789,V:ADJ,-able
argentino,argentinidad,0.4652263465901725,ADJ:N,-dad
lógica,logical,0.3311599156667888,N:ADJ,-al
preciar,despreciar,0.583078358770091,V:V,des-
mosquito,mosquitero,0.5151739899829153,N:N,-ero
Luxemburgo,luxemburgués,0.5309779725162082,N:ADJ,-és
Buenos Aires,bonaerense,0.36509216943547174,N:ADJ,-ense
puerto,porteño,0.2503056824413432,N:ADJ,-eño
Corea,coreano,0.5934699510453746,N:ADJ,-ano
tonal,atonal,0.5242564611693284,ADJ:ADJ,a-
boya,boyar,0.40142463308082665,N:V,-ar
sexual,asexual,0.5278090834805133,ADJ:ADJ,a-
reversible,irreversible,0.6239850437530673,ADJ:ADJ,in-
virus,viral,0.4356627287876863,N:ADJ,-al
manta,mantilla,0.3873618291545995,N:N,-illa
continente,continental,0.608420387742032,N:ADJ,-al
Vietnam,vietnamita,0.6580116991085229,N:ADJ,-ita
ceda,cedilla,0.2295716429486827,N:N,-illa
Bolivia,boliviano,0.7375493703108549,N:ADJ,-ano
fino,finito,0.43558402644643557,ADJ:ADJ,-ito
profundo,profundizar,0.43790200512934385,ADJ:V,-izar
rata,ratón,0.4709741579894353,N:N,-ón
marina,marinero,0.4767005215850699,N:N,-ero
incentivo,incentivar,0.6330677041802181,ADJ:V,-ar
Irak,iraquí,0.711104627829295,N:ADJ,-í
burro,burrito,0.6858295456427607,N:N,-ito
portar,portable,0.2929971714062831,V:ADJ,-able
deplorar,deplorable,0.5144645413710385,V:ADJ,-able
comprar,comprador,0.46662946195035615,V:ADJ,-dor
molécula,molecular,0.5707547572331503,N:ADJ,-ar
alvéolo,alveolar,0.620903884392258,N:ADJ,-ar
Tánger,tangerino,0.540462364454803,N:ADJ,-ino
Hawái,hawaiano,0.5440201652321748,N:ADJ,-ano
cultura,cultural,0.6648119267154169,N:ADJ,-al
trópico,tropical,0.5501077702325721,ADJ:ADJ,-al
armado,armadillo,0.2547033348117722,ADJ:N,-illo
China,chino,0.5779102811152981,N:ADJ,-o
octágono,octagonal,0.4108334894488658,N:ADJ,-al
fétido,fetidez,0.6803821459991004,ADJ:N,-ez
watt,kilowatt,0.5843383931866885,N:N,kilo-
adición,adicionar,0.5766852305465918,N:V,-ar
