pivot,derivation,similarity,category,affix
axial,abaxial,0.4570450996571884,ADJ:ADJ,ab-
Chiapas,chiapaneco,0.6608608366932621,N:ADJ,-eco
moral,amoral,0.5011090017284151,ADJ:ADJ,a-
ciento,centavo,0.4074501486478793,N:N,-avo
andar,andante,0.38786590125760545,V:ADJ,-ante
maquilar,maquiladora,0.5086395116298537,V:N,-dora
industria,industrial,0.6088338059352923,N:ADJ,-al
paz,paceño,0.27279684479320665,N:ADJ,-eño
ácido,acidosis,0.5517471901255855,ADJ:N,-osis
banca,bancario,0.6748238094073798,N:ADJ,-ario
PAN,panista,0.8847307774242786,N:ADJ,-ista
Chihuahua,chihuahuense,0.6327761180482575,N:ADJ,-ense
mente,mental,0.5193919113558527,V:ADJ,-al
sombra,sombrero,0.33740154482023954,N:N,-ero
coro,coral,0.4481498427441195,N:ADJ,-al
mosca,mosquito,0.5685511155741098,N:N,-ito
balar,balido,0.7936790136520335,V:N,-ido
marica,mariquita,0.6105959358894901,N:N,-ita
jurar,juramento,0.7679390292270795,V:N,-mento
juzgar,juzgado,0.487730122640602,V:N,-ado
juramentar,juramentado,0.6679917130105519,V:N,-ado
matar,matador,0.3413831102845597,N:N,-dor
matar,matanza,0.5004496590070849,N:N,-anza
elegante,elegantemente,0.7124202619989937,ADJ:ADV,-mente
sangre,sangría,0.2782168184613626,N:N,-ía
ratón,ratoncito,0.49808803617587893,N:N,-cito
rápido,rápidamente,0.574826715500611,ADJ:ADV,-mente
negociar,negociante,0.2934673906888883,V:N,-ante
controvertible,incontrovertible,0.3273618671692199,ADJ:ADJ,in-
ancho,anchor,0.2454502462650705,ADJ:N,-or
chingar,chingón,0.7269561774150979,V:ADJ,-ón
sexual,homosexual,0.5744370412896883,ADJ:ADJ,homo-
variable,invariable,0.3343666587042018,ADJ:ADJ,in-
cultural,multicultural,0.5744989218871269,ADJ:ADJ,multi-
amargo,amargura,0.6337945057172498,ADJ:N,-ura
acreditar,acreditación,0.5603141696539178,V:N,-ción
vena,venal,0.16226356053448598,N:ADJ,-al
rectángulo,rectangular,0.6412244907530795,N:ADJ,-ar
nucleo,nuclear,0.23097526268873014,V:ADJ,-ar
