pivot,derivation,similarity,category,affix
industria,industrial,0.5721969773470331,N:ADJ,-al
PAN,panista,0.7483976326105531,N:ADJ,-ista
mente,mental,0.5356624668496712,V:ADJ,-al
sombra,sombrero,0.32805018522014007,N:N,-ero
coro,coral,0.48058778698756777,N:ADJ,-al
mosca,mosquito,0.5862656099768461,N:N,-ito
matar,matador,0.4437832705540692,N:N,-dor
elegante,elegantemente,0.6431892675383049,ADJ:ADV,-mente
rápido,rápidamente,0.6354369791441209,ADJ:ADV,-mente
chingar,chingón,0.5534781793067851,V:ADJ,-ón
acreditar,acreditación,0.6230396247091664,V:N,-ción
vena,venal,0.2198632286165768,N:ADJ,-al
rectángulo,rectangular,0.6350909266071789,N:ADJ,-ar
nucleo,nuclear,0.2948144113583733,V:ADJ,-ar
cerebro,cerebral,0.6987582940783836,N:ADJ,-al
suelto,soltar,0.4219346700129246,ADJ:V,-ar
ángulo,angular,0.5219573185733676,N:V,-ar
ornamento,ornamental,0.7283565006601544,N:ADJ,-al
data,datar,0.45165995618061694,N:V,-ar
diluvio,diluvial,0.6673627197973562,N:ADJ,-al
serie,serial,0.3563180451410213,N:ADJ,-al
descubrir,descubrimiento,0.4998903188655345,V:N,-miento
función,funcionar,0.37090910161683244,N:V,-ar
fiero,feral,0.3247794226648102,ADJ:ADJ,-al
mora,moral,0.25498508709472967,N:N,-al
abuso,abusar,0.5012965375501978,N:V,-ar
chaqueta,chaquetear,0.4658198809643852,N:V,-ear
sisa,sisar,0.5219797795005491,N:V,-ar
conocer,conocimiento,0.4191293712121844,V:N,-miento
despertar,despertador,0.44645488915550335,N:N,-dor
ala,alar,0.5053921263071239,N:ADJ,-ar
La Habana,habanero,0.2601376349225113,N:ADJ,-ero
raza,racismo,0.36927084433606594,V:N,-ismo
lógica,logical,0.3311599156667888,N:ADJ,-al
preciar,despreciar,0.583078358770091,V:V,des-
mosquito,mosquitero,0.5151739899829153,N:N,-ero
boya,boyar,0.40142463308082665,N:V,-ar
virus,viral,0.4356627287876863,N:ADJ,-al
continente,continental,0.608420387742032,N:ADJ,-al
fino,finito,0.43558402644643557,ADJ:ADJ,-ito
rata,ratón,0.4709741579894353,N:N,-ón
marina,marinero,0.4767005215850699,N:N,-ero
incentivo,incentivar,0.6330677041802181,ADJ:V,-ar
burro,burrito,0.6858295456427607,N:N,-ito
comprar,comprador,0.46662946195035615,V:ADJ,-dor
molécula,molecular,0.5707547572331503,N:ADJ,-ar
alvéolo,alveolar,0.620903884392258,N:ADJ,-ar
cultura,cultural,0.6648119267154169,N:ADJ,-al
trópico,tropical,0.5501077702325721,ADJ:ADJ,-al
octágono,octagonal,0.4108334894488658,N:ADJ,-al
adición,adicionar,0.5766852305465918,N:V,-ar
fin,finar,0.36413527838207416,N:V,-ar
semicírculo,semicircular,0.6077982831398179,N:ADJ,-ar
colonia,colonial,0.5313676699874608,N:ADJ,-al
dialecto,dialectal,0.7121925809962798,N:ADJ,-al
perico,periquito,0.692412143936765,ADJ:N,-ito
sala,salón,0.6637981696726895,N:N,-ón
zapato,zapatero,0.5351119382996996,N:ADJ,-ero
zigzag,zigzaguear,0.5703708760842691,N:V,-ear
zoología,zoológico,0.433477950461965,N:ADJ,-ico
vaca,vaquero,0.33480192061612746,N:N,-ero
muro,mural,0.47921956224761475,N:ADJ,-al
útil,útilmente,0.4826374676485282,ADJ:ADV,-mente
utilizar,utilización,0.6167402736865621,V:N,-ción
uso,usar,0.5659717559789673,N:V,-ar
urbanizar,urbanización,0.5859586352991158,V:N,-ción
urgente,urgentemente,0.7302775295748513,ADJ:ADV,-mente
ulterior,ulteriormente,0.5980613966036183,ADJ:ADV,-mente
último,últimamente,0.3453463547826989,ADJ:ADV,-mente
unánime,unánimemente,0.6930541540449028,ADJ:ADV,-mente
universal,universalmente,0.5559882659243535,ADJ:ADV,-mente
cabo,cabal,0.11000419384018978,N:ADJ,-al
posta,postal,0.28119951750966043,N:ADJ,-al
macho,machismo,0.40921016429462775,ADJ:N,-ismo
bacteria,bacterial,0.6797730860789204,N:ADJ,-al
civilizar,civilización,0.5493371103253654,V:N,-ción
cubrir,descubrir,0.3065225286972382,V:V,des-
caballo,caballar,0.5094273307115407,N:ADJ,-ar
saber,sabedor,0.3598100840209921,N:ADJ,-dor
sabio,sabiamente,0.4010084694377358,N:ADV,-mente
sabor,saborear,0.486463101504208,N:V,-ear
jabón,jabonar,0.5612359883759095,N:V,-ar
hala,jalear,0.3817908081607677,V:V,-ear
jarana,jaranear,0.3972033061314211,N:V,-ear
jardín,jardinero,0.571569227220078,N:N,-ero
jarro,jarrón,0.5934919944714816,N:N,-ón
jinete,jinetear,0.49043784693062287,N:V,-ar
jocoso,jocosamente,0.5141217890463907,ADJ:ADV,-mente
jornal,jornalero,0.5841616761444308,N:N,-ero
jovial,jovialmente,0.5763965571314874,ADJ:ADV,-mente
joya,joyero,0.44352927972150735,N:N,-ero
judicial,judicialmente,0.5391888668601897,ADJ:ADV,-mente
juerga,juerguista,0.5756442451138413,N:N,-ista
jugar,jugador,0.5083552055830366,V:N,-dor
juguete,juguetear,0.43021907236783596,N:V,-ar
juguetón,juguetonamente,0.572238320633217,ADJ:ADV,-mente
junto,juntamente,0.6513207702302289,ADJ:ADV,-mente
justo,justamente,0.6311552928598407,ADJ:ADV,-mente
justicia,justiciero,0.49078078570259587,N:ADJ,-ero
justificar,justificación,0.7316643848029677,V:N,-ción
quebrantar,quebrantamiento,0.6033406951174224,V:N,-miento
burla,burlar,0.44724999860815395,N:V,-ar
verdad,verdadero,0.41718185835793264,N:ADJ,-ero
testículo,testicular,0.6436847437900597,N:ADJ,-ar
quemar,quemador,0.470152415166068,V:ADJ,-dor
quirúrgico,quirúrgicamente,0.4862419816611354,ADJ:ADV,-mente
ñoño,ñoñear,0.24458224079924062,ADJ:V,-ear
falta,faltar,0.4967837151046396,N:V,-ar
secretario,secretarial,0.44635489430510855,N:ADJ,-al
elector,electoral,0.5151351394534472,N:ADJ,-al
dimensión,dimensional,0.5876765794837916,N:ADJ,-al
cérvix,cervical,0.5288110235398253,N:ADJ,-al
península,peninsular,0.6381389410789973,N:ADJ,-ar
arteria,arterial,0.5026609735543063,N:ADJ,-al
estudio,estudiar,0.48312944539147684,N:V,-ar
fijo,fijar,0.3757803825543431,V:V,-ar
registro,registrar,0.6344734507503074,N:V,-ar
paso,pasear,0.24740182783625686,N:V,-ear
coloquio,coloquial,0.23097312063901498,N:ADJ,-al
luchar,luchador,0.423919866989942,V:ADJ,-dor
territorio,territorial,0.7122476039418962,N:ADJ,-al
acerbo,acerbamente,0.4144021161320881,ADJ:ADV,-mente
tetrágono,tetragonal,0.4911230197406675,N:ADJ,-al
estrena,estrenar,0.5687692008318302,N:V,-ar
zodiaco,zodiacal,0.6659499795988126,N:ADJ,-al
labrar,labrador,0.3502501672415862,V:N,-dor
elemento,elemental,0.547588500477653,N:ADJ,-al
base,básico,0.36028346345138973,N:ADJ,-ico
ducto,ductal,0.4276369611128985,N:ADJ,-al
seguir,seguidor,0.2969274915520802,V:N,-dor
concentrar,concentración,0.4731149811722355,V:N,-ción
nacional,nacionalidad,0.404909109870335,ADJ:N,-idad
asociar,asociación,0.3863325528396717,V:N,-ción
escuadra,escuadrón,0.482761103223768,N:N,-ón
enfrentar,enfrentamiento,0.4665442663501137,V:N,-miento
organizar,organización,0.5594790507536003,V:N,-ción
viajar,viajero,0.43547394300725073,V:ADJ,-ero
vender,vendedor,0.5247268017271755,V:N,-dor
seguro,seguridad,0.41462866045243785,ADJ:N,-idad
acontecer,acontecimiento,0.6189138820513076,V:N,-miento
negociar,negociación,0.667529159420601,V:N,-ción
activo,actividad,0.42557358868378836,ADJ:N,-idad
procesar,procesamiento,0.6850156556829374,V:N,-miento
invitar,invitación,0.584394414527082,V:N,-ción
voz,vocero,0.24447284936325708,N:N,-ero
católico,catolicismo,0.7292042471284427,ADJ:N,-ismo
guerrilla,guerrillero,0.734036964652777,N:ADJ,-ero
comercializar,comercialización,0.6554897273102707,V:N,-ción
trámite,tramitar,0.6345692980720374,N:V,-ar
presencia,presenciar,0.40738561537705686,N:V,-ar
captura,capturar,0.6933051306758546,N:V,-ar
relación,relacionar,0.4896326742548449,N:V,-ar
abolir,abolición,0.6977844823806592,V:N,-ción
exportar,exportación,0.6966875839909403,V:N,-ción
poblar,población,0.3099331794935266,V:N,-ción
terror,terrorismo,0.5150073426620941,N:N,-ismo
mover,movimiento,0.4394138471019702,V:N,-miento
pelota,pelotero,0.39609965934072033,N:N,-ero
proceder,procedimiento,0.523724333311023,V:N,-miento
educar,educación,0.5486505568733767,V:N,-ción
urbano,urbanismo,0.6243453398611558,ADJ:N,-ismo
periódico,periodista,0.5415313473985113,N:N,-ista
embajada,embajador,0.6422469268962268,N:N,-dor
detener,detención,0.4822347372879672,V:N,-ción
pasaje,pasajero,0.484755703281851,N:ADJ,-ero
ropa,ropero,0.4798366387977797,N:ADJ,-ero
silla,sillón,0.6603007093565555,N:N,-ón
colcha,colchón,0.42192638195477805,N:N,-ón
caja,cajón,0.4566746870892464,N:N,-ón
tocar,tocador,0.24680889636976677,V:N,-dor
comer,comedor,0.34103892258842217,N:N,-dor
votar,votación,0.6125056667683669,V:N,-ción
análisis,analista,0.5213315669209737,N:N,-ista
pueblo,poblar,0.30502222129491807,N:V,-ar
azúcar,azucarero,0.4737882568974897,N:ADJ,-ero
percha,perchero,0.6468600993084672,N:N,-ero
paraguas,paragüero,0.5529225762431319,N:N,-ero
escala,escalón,0.3688727861031258,N:N,-ón
caballo,caballero,0.4936373182867364,N:N,-ero
casa,casamiento,0.24580991691283682,N:N,-miento
integrar,integración,0.5764628474931068,V:N,-ción
movilización,desmovilización,0.5042060117686744,ADJ:N,des-
legal,legalidad,0.5593175945722609,ADJ:N,-idad
aguaza,aguacero,0.28781294740491725,N:N,-ero
ala,alero,0.31430359965359655,N:N,-ero
