pivot,derivation,similarity,category,affix
axial,abaxial,0.8602483,ADJ:ADJ,ab-
Chiapas,chiapaneco,0.7693262,N:ADJ,-eco
moral,amoral,0.86759907,ADJ:ADJ,a-
ciento,centavo,0.882959,N:N,-avo
andar,andante,0.91393656,V:ADJ,-ante
maquilar,maquiladora,0.96287805,V:N,-dora
industria,industrial,0.89910764,N:ADJ,-al
paz,paceño,0.85379076,N:ADJ,-eño
ácido,acidosis,0.8779603,ADJ:N,-osis
banca,bancario,0.90339315,N:ADJ,-ario
PAN,panista,0.7826101,N:ADJ,-ista
Chihuahua,chihuahuense,0.7395124,N:ADJ,-ense
mente,mental,0.87342036,V:ADJ,-al
Estados Unidos,estadounidense,0.7723125,N:N,-ense
sombra,sombrero,0.80246466,N:N,-ero
coro,coral,0.88070726,N:ADJ,-al
mosca,mosquito,0.92482555,N:N,-ito
balar,balido,0.8956151,V:N,-ido
marica,mariquita,0.92072636,N:N,-ita
jurar,juramento,0.9179634,V:N,-mento
juzgar,juzgado,0.9045253,V:N,-ado
juramentar,juramentado,0.95244163,V:N,-ado
matar,matador,0.8762919,N:N,-dor
matar,matanza,0.878912,N:N,-anza
elegante,elegantemente,0.90078956,ADJ:ADV,-mente
sangre,sangría,0.8770282,N:N,-ía
ratón,ratoncito,0.9352077,N:N,-cito
rápido,rápidamente,0.8847017,ADJ:ADV,-mente
negociar,negociante,0.88018185,V:N,-ante
controvertible,incontrovertible,0.95502853,ADJ:ADJ,in-
ancho,anchor,0.7485453,ADJ:N,-or
chingar,chingón,0.9147251,V:ADJ,-ón
sexual,homosexual,0.9046282,ADJ:ADJ,homo-
variable,invariable,0.6902991,ADJ:ADJ,in-
cultural,multicultural,0.88220054,ADJ:ADJ,multi-
amargo,amargura,0.91999596,ADJ:N,-ura
acreditar,acreditación,0.96551424,V:N,-ción
vena,venal,0.9355118,N:ADJ,-al
rectángulo,rectangular,0.79853874,N:ADJ,-ar
nucleo,nuclear,0.8537785,V:ADJ,-ar
paloma,palomita,0.91863334,N:N,-ita
cerebro,cerebral,0.86624974,N:ADJ,-al
suelto,soltar,0.8429352,ADJ:V,-ar
arrogar,arrogante,0.93939304,V:ADJ,-ante
Cebú,Cebuano,0.9079498,N:N,-ano
México,mexicano,0.7988806,N:ADJ,-ano
adaptar,adaptable,0.8924565,V:ADJ,-able
libro,librería,0.7869754,N:N,-ería
sexual,heterosexual,0.8283868,ADJ:ADJ,hetero-
ángulo,angular,0.81754214,N:V,-ar
ornamento,ornamental,0.86715204,N:ADJ,-al
sexual,bisexual,0.86827,ADJ:ADJ,bi-
data,datar,0.92095596,N:V,-ar
diluvio,diluvial,0.9207237,N:ADJ,-al
serie,serial,0.85261005,N:ADJ,-al
escrito,escritor,0.6881579,N:N,-or
descubrir,descubrimiento,0.8745847,V:N,-miento
función,funcionar,0.7852155,N:V,-ar
Madrid,madrileño,0.747707,N:ADJ,-eño
fiero,feral,0.87916803,ADJ:ADJ,-al
mora,moral,0.8534923,N:N,-al
abuso,abusar,0.93457204,N:V,-ar
chaqueta,chaquetear,0.88089377,N:V,-ear
cameral,bicameral,0.85963464,ADJ:ADJ,bi-
albo,albino,0.8322082,ADJ:ADJ,-ino
faja,fajita,0.88132876,N:N,-ita
sisa,sisar,0.9522183,N:V,-ar
conocer,conocimiento,0.9017253,V:N,-miento
páncreas,pancreatitis,0.85805106,N:N,-itis
Japón,japonés,0.7825113,N:ADJ,-és
semita,antisemita,0.79544353,N:ADJ,anti-
labial,bilabial,0.87660784,ADJ:ADJ,bi-
bolso,bolsillo,0.9473476,N:N,-illo
espina,espinilla,0.9120966,N:N,-illa
despertar,despertador,0.95450324,N:N,-dor
ala,alar,0.9274193,N:ADJ,-ar
Jalapa,jalapeño,0.85318637,N:ADJ,-eño
La Habana,habanero,0.7924967,N:ADJ,-ero
raza,racismo,0.81752986,V:N,-ismo
pito,pitillo,0.9238485,N:N,-illo
cuerno,cornada,0.8732218,N:N,-ada
considerar,considerable,0.8891981,V:ADJ,-able
argentino,argentinidad,0.7259244,ADJ:N,-dad
lógica,logical,0.8601913,N:ADJ,-al
preciar,despreciar,0.86880434,V:V,des-
mosquito,mosquitero,0.92817175,N:N,-ero
Luxemburgo,luxemburgués,0.8087266,N:ADJ,-és
Buenos Aires,bonaerense,0.76012224,N:ADJ,-ense
puerto,porteño,0.82760483,N:ADJ,-eño
Corea,coreano,0.8872613,N:ADJ,-ano
tonal,atonal,0.90857345,ADJ:ADJ,a-
boya,boyar,0.95082974,N:V,-ar
sexual,asexual,0.8508381,ADJ:ADJ,a-
reversible,irreversible,0.89023566,ADJ:ADJ,in-
virus,viral,0.9146472,N:ADJ,-al
manta,mantilla,0.9165655,N:N,-illa
continente,continental,0.83538896,N:ADJ,-al
Vietnam,vietnamita,0.8190728,N:ADJ,-ita
ceda,cedilla,0.8590811,N:N,-illa
Bolivia,boliviano,0.7298934,N:ADJ,-ano
fino,finito,0.8066719,ADJ:ADJ,-ito
profundo,profundizar,0.8489453,ADJ:V,-izar
rata,ratón,0.8166701,N:N,-ón
marina,marinero,0.85897017,N:N,-ero
incentivo,incentivar,0.93857193,ADJ:V,-ar
Irak,iraquí,0.81077594,N:ADJ,-í
burro,burrito,0.9429133,N:N,-ito
portar,portable,0.833548,V:ADJ,-able
deplorar,deplorable,0.88071465,V:ADJ,-able
comprar,comprador,0.86403286,V:ADJ,-dor
molécula,molecular,0.7889118,N:ADJ,-ar
alvéolo,alveolar,0.85305953,N:ADJ,-ar
Tánger,tangerino,0.858559,N:ADJ,-ino
Hawái,hawaiano,0.814739,N:ADJ,-ano
cultura,cultural,0.90807253,N:ADJ,-al
trópico,tropical,0.8023093,ADJ:ADJ,-al
armado,armadillo,0.89926714,ADJ:N,-illo
China,chino,0.7907489,N:ADJ,-o
octágono,octagonal,0.8827991,N:ADJ,-al
fétido,fetidez,0.87858504,ADJ:N,-ez
watt,kilowatt,0.8266108,N:N,kilo-
adición,adicionar,0.9042313,N:V,-ar
fin,finar,0.8184311,N:V,-ar
semicírculo,semicircular,0.9059216,N:ADJ,-ar
estudiar,estudiante,0.86540675,V:N,-ante
colonia,colonial,0.8927159,N:ADJ,-al
bravo,bravura,0.9321363,ADJ:N,-ura
ahora,ahorita,0.7766683,ADV:ADV,-ita
dialecto,dialectal,0.9230118,N:ADJ,-al
usar,usable,0.8563342,V:ADJ,-able
perico,periquito,0.8870884,ADJ:N,-ito
sala,salón,0.8442183,N:N,-ón
ayer,anteayer,0.86890745,N:ADV,ante-
pecado,pecadillo,0.86896473,N:N,-illo
bocado,bocadillo,0.944555,N:N,-illo
zumbar,zumbido,0.9094018,V:N,-ido
