pivot,inflection,similarity,category
abonować,abonowałam,0.8734188,V;PST;1;SG;FEM
abonować,abonowałaś,0.82878476,V;PST;2;SG;FEM
abonować,abonowała,0.8931765,V;PST;3;SG;FEM
abonować,abonowałem,0.8855176,V;PST;1;SG;MASC
abonować,abonowałeś,0.8446724,V;PST;2;SG;MASC
abonować,abonowaliście,0.86217594,V;PST;2;PL;MASC;HUM
abonować,abonowaliśmy,0.85562295,V;PST;1;PL;MASC;HUM
abonować,abonowali,0.90185034,V;PST;3;PL;MASC;HUM
abonować,abonowało,0.8651025,V;PST;3;SG;NEUT
abonować,abonował,0.89847124,V;PST;3;SG;MASC
abonować,abonowałyście,0.8594667,V;PST;2;PL
abonować,abonowałyśmy,0.8338699,V;PST;1;PL
abonować,abonowały,0.8976226,V;PST;3;PL
abonować,abonują,0.90441656,V;PRS;3;PL
abonować,abonujecie,0.85624737,V;PRS;2;PL
abonować,abonujemy,0.87735,V;PRS;1;PL
abonować,abonujesz,0.84831935,V;PRS;2;SG
abonować,abonuję,0.8589273,V;PRS;1;SG
abonować,abonuje,0.8983329,V;PRS;3;SG
abonować,będą abonowali,0.7869401,V;FUT;3;PL;MASC;HUM
abonować,będą abonowały,0.76852447,V;FUT;3;PL
abonować,będę abonowała,0.8179341,V;FUT;1;SG;FEM
abonować,będę abonował,0.8189079,V;FUT;1;SG;MASC
abonować,będzie abonowała,0.78747404,V;FUT;3;SG;FEM
abonować,będzie abonowało,0.74487287,V;FUT;3;SG;NEUT
abonować,będzie abonował,0.7962228,V;FUT;3;SG;MASC
abonować,będziecie abonowali,0.8168816,V;FUT;2;PL;MASC;HUM
abonować,będziecie abonowały,0.7991611,V;FUT;2;PL
abonować,będziemy abonowali,0.8062238,V;FUT;1;PL;MASC;HUM
abonować,będziemy abonowały,0.7884537,V;FUT;1;PL
abonować,będziesz abonowała,0.8124944,V;FUT;2;SG;FEM
abonować,będziesz abonował,0.8062627,V;FUT;2;SG;MASC
absorbować,absorbowałam,0.8694,V;PST;1;SG;FEM
absorbować,absorbowałaś,0.86987466,V;PST;2;SG;FEM
absorbować,absorbowała,0.9115921,V;PST;3;SG;FEM
absorbować,absorbowałem,0.880232,V;PST;1;SG;MASC
absorbować,absorbowałeś,0.8742901,V;PST;2;SG;MASC
absorbować,absorbowaliście,0.8603333,V;PST;2;PL;MASC;HUM
absorbować,absorbowaliśmy,0.8438502,V;PST;1;PL;MASC;HUM
absorbować,absorbowali,0.9203504,V;PST;3;PL;MASC;HUM
absorbować,absorbowało,0.89138204,V;PST;3;SG;NEUT
absorbować,absorbował,0.92879486,V;PST;3;SG;MASC
absorbować,absorbowałyście,0.8440621,V;PST;2;PL
absorbować,absorbowałyśmy,0.8746252,V;PST;1;PL
absorbować,absorbowały,0.9134513,V;PST;3;PL
absorbować,absorbują,0.83591855,V;PRS;3;PL
absorbować,absorbujecie,0.7827373,V;PRS;2;PL
absorbować,absorbujemy,0.81439877,V;PRS;1;PL
absorbować,absorbujesz,0.7942645,V;PRS;2;SG
absorbować,absorbuję,0.7466171,V;PRS;1;SG
absorbować,absorbuje,0.839263,V;PRS;3;SG
absorbować,będą absorbowali,0.79405993,V;FUT;3;PL;MASC;HUM
absorbować,będą absorbowały,0.78953886,V;FUT;3;PL
absorbować,będę absorbowała,0.8167994,V;FUT;1;SG;FEM
