pivot,inflection,P-I similarity
abonować,abonował,0.5305056255995801
abonować,abonują,0.4550816186037605
abonować,abonuje,0.502811228753364
absorbować,absorbowała,0.45770693401393003
absorbować,absorbowali,0.3436261982887193
absorbować,absorbowało,0.41572120726863515
absorbować,absorbował,0.5239667138448634
absorbować,absorbowały,0.5050305069172927
absorbować,absorbują,0.5497237334235283
absorbować,absorbujemy,0.498931664090685
absorbować,absorbujesz,0.35299513563293305
absorbować,absorbuję,0.4310139790080627
absorbować,absorbuje,0.5687568728215314
analizować,analizowała,0.5761053653278481
analizować,analizowali,0.5802255455935907
analizować,analizowało,0.4951482071872553
analizować,analizował,0.6207499864772351
analizować,analizowały,0.5232780716052444
analizować,analizują,0.6009997072175312
analizować,analizujecie,0.4281993624154936
analizować,analizujemy,0.5802508321419694
analizować,analizujesz,0.5027798385300025
analizować,analizuję,0.5993394129165959
analizować,analizuje,0.6293733412721145
atakować,atakowała,0.6791621468719136
atakować,atakowali,0.6592358188761273
atakować,atakowało,0.6085915500072502
atakować,atakował,0.6726871851463861
atakować,atakowały,0.6213683765496123
atakować,atakują,0.609298734118513
atakować,atakujecie,0.4078343207015931
atakować,atakujemy,0.4911001645471891
atakować,atakujesz,0.44796949027990673
atakować,atakuję,0.4673140517871245
atakować,atakuje,0.6087679192309801
badać,badacie,0.2555488678662071
badać,badają,0.5990766558065906
badać,badała,0.5716244297467874
badać,badali,0.5702937874349803
badać,badało,0.4584959991890887
badać,badał,0.5801805543562792
badać,badały,0.5273597677640398
badać,badam,0.47730893712969413
badać,badamy,0.5565885237138983
badać,badasz,0.42260960635847544
badać,bada,0.5902081996899188
bankrutować,bankrutowała,0.40476045313650677
bankrutować,bankrutowali,0.48173989716032883
bankrutować,bankrutowało,0.4802162238518676
bankrutować,bankrutował,0.45786401396104304
bankrutować,bankrutowały,0.5558519823949217
bankrutować,bankrutują,0.4982061586893112
bankrutować,bankrutujemy,0.42768129882021366
bankrutować,bankrutujesz,0.3687868086042617
bankrutować,bankrutuję,0.39635479087709236
bankrutować,bankrutuje,0.4738246614453153
bawić,bawią,0.6948779436917496
bawić,bawicie,0.5367357773441636
bawić,bawię,0.5989819864368705
bawić,bawiła,0.6153863156813076
bawić,bawili,0.6410253042589243
