pivot,inflection,similarity,category
abonować,sprawdzicie,0.8419411,V;FUT;2;PL
abonować,lansowałyśmy,0.8347242,V;PST;1;PL
abonować,będziecie absorbowały,0.81251436,V;FUT;2;PL
abonować,będziemy pięły,0.80867594,V;FUT;1;PL
abonować,będziecie dotykały,0.7669464,V;FUT;2;PL
abonować,podochodził,0.8446274,V;PST;3;SG;MASC
abonować,wyjrzała,0.82816917,V;PST;3;SG;FEM
abonować,gadałyśmy,0.843045,V;PST;1;PL
abonować,lizaliśmy,0.83189625,V;PST;1;PL;MASC;HUM
abonować,będzie spodziewał,0.7609706,V;FUT;3;SG;MASC
abonować,sprzęgłyście,0.7774546,V;PST;2;PL
abonować,przegapiłam,0.8367388,V;PST;1;SG;FEM
abonować,mamroczemy,0.7651358,V;PRS;1;PL
abonować,jebnęło,0.84674907,V;PST;3;SG;NEUT
abonować,odwiedzały,0.8103608,V;PST;3;PL
abonować,przyjmujesz,0.83025134,V;PRS;2;SG
abonować,uczęszczacie,0.8306737,V;PRS;2;PL
abonować,będziecie błądzili,0.79962844,V;FUT;2;PL;MASC;HUM
abonować,pojawiają,0.82757425,V;PRS;3;PL
abonować,będę szczekał,0.79718375,V;FUT;1;SG;MASC
abonować,przeżuł,0.83234596,V;PST;3;SG;MASC
abonować,kimałem,0.8042556,V;PST;1;SG;MASC
abonować,będzie kosiła,0.803243,V;FUT;3;SG;FEM
abonować,uderzyłeś,0.7969737,V;PST;2;SG;MASC
abonować,kwestionowaliśmy,0.8332492,V;PST;1;PL;MASC;HUM
abonować,zazdrościli,0.82370645,V;PST;3;PL;MASC;HUM
abonować,wisiał,0.84186786,V;PST;3;SG;MASC
abonować,drapała,0.8363691,V;PST;3;SG;FEM
abonować,wpływają,0.7902054,V;PRS;3;PL
abonować,wybuchnęliście,0.79784745,V;PST;2;PL;MASC;HUM
abonować,przesadza,0.8502954,V;PRS;3;SG
abonować,potrzebował,0.840002,V;PST;3;SG;MASC
absorbować,konfigurowało,0.85911155,V;PST;3;SG;NEUT
absorbować,będziesz chłeptał,0.8376361,V;FUT;2;SG;MASC
absorbować,pląsacie,0.8488032,V;PRS;2;PL
absorbować,będzie zapierdalała,0.7994704,V;FUT;3;SG;FEM
absorbować,będziemy analizowały,0.7956163,V;FUT;1;PL
absorbować,wygrała,0.7533251,V;PST;3;SG;FEM
absorbować,będę trwała,0.7726322,V;FUT;1;SG;FEM
absorbować,dusiłam,0.8131725,V;PST;1;SG;FEM
absorbować,zieje,0.8380508,V;PRS;3;SG
absorbować,będziesz znikała,0.8071047,V;FUT;2;SG;FEM
absorbować,dąsałaś,0.8409417,V;PST;2;SG;FEM
absorbować,będą łamały,0.8099475,V;FUT;3;PL
absorbować,będziecie tlały,0.825794,V;FUT;2;PL
absorbować,plotkowałyśmy,0.81246704,V;PST;1;PL
absorbować,będę lgnęła,0.7852439,V;FUT;1;SG;FEM
absorbować,będzie filmował,0.7900388,V;FUT;3;SG;MASC
absorbować,będą dowodziły,0.79431635,V;FUT;3;PL
absorbować,siedziałam,0.8460386,V;PST;1;SG;FEM
absorbować,poznałyście,0.8276226,V;PST;2;PL
absorbować,będzie płynęła,0.79838145,V;FUT;3;SG;FEM
absorbować,przepraszałeś,0.85525435,V;PST;2;SG;MASC
absorbować,będziemy nadzorowali,0.81324166,V;FUT;1;PL;MASC;HUM
