pivot,inflection,similarity,category
oler,huelo,0.4938345436851921,V;IND;PRS;1;SG
oler,hueles,0.5095250271494886,V;IND;PRS;2;SG;INFM
oler,huele,0.552051046818815,V;IND;PRS;3;SG
oler,olemos,0.47569404632166523,V;IND;PRS;1;PL
oler,huelen,0.5848684753275066,V;IND;PRS;3;PL
oler,olía,0.5290141889289193,V;IND;PST;IPFV;1;SG
oler,olía,0.5290141889289193,V;IND;PST;IPFV;3;SG
oler,olían,0.5132320041841463,V;IND;PST;IPFV;3;PL
oler,olerá,0.5159357504070543,V;IND;FUT;3;SG
oler,olerán,0.51534482523932,V;IND;FUT;3;PL
prometer,prometo,0.5407074621057595,V;IND;PRS;1;SG
prometer,prometes,0.46455193635419034,V;IND;PRS;2;SG;INFM
prometer,promete,0.6085769751731283,V;IND;PRS;3;SG
prometer,prometemos,0.4689059224582919,V;IND;PRS;1;PL
prometer,prometéis,0.5181201621384985,V;IND;PRS;2;PL
prometer,prometen,0.5374474060567476,V;IND;PRS;3;PL
prometer,prometía,0.5352380758192063,V;IND;PST;IPFV;1;SG
prometer,prometías,0.513153432732023,V;IND;PST;IPFV;2;SG;INFM
prometer,prometía,0.5352380758192063,V;IND;PST;IPFV;3;SG
prometer,prometíamos,0.469830646213246,V;IND;PST;IPFV;1;PL
prometer,prometían,0.45945195473451694,V;IND;PST;IPFV;3;PL
prometer,prometeré,0.5156661471170024,V;IND;FUT;1;SG
prometer,prometerá,0.6084297960244733,V;IND;FUT;3;SG
prometer,prometerán,0.4920448898912395,V;IND;FUT;3;PL
avalar,avalo,0.5191761840697198,V;IND;PRS;1;SG
avalar,avala,0.6589560422166609,V;IND;PRS;3;SG
avalar,avalamos,0.5164252857939611,V;IND;PRS;1;PL
avalar,avalan,0.5493964613031347,V;IND;PRS;3;PL
avalar,avalaba,0.6074105158778745,V;IND;PST;IPFV;1;SG
avalar,avalaba,0.6074105158778745,V;IND;PST;IPFV;3;SG
avalar,avalaban,0.5614951610692941,V;IND;PST;IPFV;3;PL
avalar,avalaré,0.5280410526078647,V;IND;FUT;1;SG
avalar,avalará,0.6280517603880114,V;IND;FUT;3;SG
avalar,avalaremos,0.5497684981646647,V;IND;FUT;1;PL
avalar,avalarán,0.6080392685695023,V;IND;FUT;3;PL
dormir,duermo,0.5521935403224812,V;IND;PRS;1;SG
dormir,duermes,0.4491440559450308,V;IND;PRS;2;SG;INFM
dormir,duerme,0.6646500826890709,V;IND;PRS;3;SG
dormir,dormimos,0.5810169069149921,V;IND;PRS;1;PL
dormir,duermen,0.6407208222551226,V;IND;PRS;3;PL
dormir,dormía,0.5633312373481629,V;IND;PST;IPFV;1;SG
dormir,dormías,0.38526623406376204,V;IND;PST;IPFV;2;SG;INFM
dormir,dormía,0.5633312373481629,V;IND;PST;IPFV;3;SG
dormir,dormíamos,0.548395695577548,V;IND;PST;IPFV;1;PL
dormir,dormían,0.5892270324396918,V;IND;PST;IPFV;3;PL
dormir,dormiré,0.5063303732330551,V;IND;FUT;1;SG
dormir,dormirás,0.4743858764300902,V;IND;FUT;2;SG;INFM
dormir,dormirá,0.4992215969085414,V;IND;FUT;3;SG
dormir,dormiremos,0.4865116729613115,V;IND;FUT;1;PL
dormir,dormirán,0.47239267139753716,V;IND;FUT;3;PL
acumular,acumulo,0.5216473973833375,V;IND;PRS;1;SG
acumular,acumulas,0.4807059665149731,V;IND;PRS;2;SG;INFM
acumular,acumula,0.6423562469994685,V;IND;PRS;3;SG
acumular,acumulamos,0.4357852094296131,V;IND;PRS;1;PL
acumular,acumulan,0.6050005821139943,V;IND;PRS;3;PL
acumular,acumulaba,0.5536659123587728,V;IND;PST;IPFV;1;SG
acumular,acumulaba,0.5536659123587728,V;IND;PST;IPFV;3;SG
acumular,acumulaban,0.5447683399321486,V;IND;PST;IPFV;3;PL
acumular,acumularás,0.5240241942790782,V;IND;FUT;2;SG;INFM
acumular,acumulará,0.5547045095139198,V;IND;FUT;3;SG
acumular,acumularán,0.5117557336215388,V;IND;FUT;3;PL
encadenar,encadeno,0.5195150027440335,V;IND;PRS;1;SG
encadenar,encadenas,0.4338704009912373,V;IND;PRS;2;SG;INFM
encadenar,encadena,0.6877908948100433,V;IND;PRS;3;SG
encadenar,encadenan,0.5686738155384197,V;IND;PRS;3;PL
encadenar,encadenaba,0.594838799788419,V;IND;PST;IPFV;1;SG
encadenar,encadenaba,0.594838799788419,V;IND;PST;IPFV;3;SG
encadenar,encadenaban,0.5421617264506252,V;IND;PST;IPFV;3;PL
encadenar,encadenará,0.5774340547973059,V;IND;FUT;3;SG
encadenar,encadenarán,0.3808017568163231,V;IND;FUT;3;PL
posar,poso,0.24780200391684204,V;IND;PRS;1;SG
posar,posas,0.2659693732497733,V;IND;PRS;2;SG;INFM
posar,posa,0.5957391335769537,V;IND;PRS;3;SG
posar,posamos,0.4304056186847647,V;IND;PRS;1;PL
posar,posan,0.5432839123682579,V;IND;PRS;3;PL
posar,posaba,0.6269169888386279,V;IND;PST;IPFV;1;SG
posar,posaba,0.6269169888386279,V;IND;PST;IPFV;3;SG
posar,posaban,0.5691686223392868,V;IND;PST;IPFV;3;PL
posar,posaré,0.38739714793189184,V;IND;FUT;1;SG
posar,posará,0.4855944774315928,V;IND;FUT;3;SG
posar,posarán,0.5138474769357724,V;IND;FUT;3;PL
colorear,coloreo,0.5269987383276273,V;IND;PRS;1;SG
colorear,colorea,0.5638094095492362,V;IND;PRS;3;SG
colorear,coloreamos,0.46173772051922035,V;IND;PRS;1;PL
