pivot,inflection,similarity,category
analizować,analizowałam,0.89604634,V;PST;1;SG;FEM
analizować,analizowałaś,0.90239656,V;PST;2;SG;FEM
analizować,analizowała,0.9212473,V;PST;3;SG;FEM
analizować,analizowałem,0.869437,V;PST;1;SG;MASC
analizować,analizowałeś,0.87391025,V;PST;2;SG;MASC
analizować,analizowaliście,0.8502361,V;PST;2;PL;MASC;HUM
analizować,analizowaliśmy,0.86290824,V;PST;1;PL;MASC;HUM
analizować,analizowali,0.8390005,V;PST;3;PL;MASC;HUM
analizować,analizowało,0.938106,V;PST;3;SG;NEUT
analizować,analizował,0.9203282,V;PST;3;SG;MASC
analizować,analizowałyście,0.8666896,V;PST;2;PL
analizować,analizowałyśmy,0.85450554,V;PST;1;PL
analizować,analizowały,0.91545033,V;PST;3;PL
analizować,analizują,0.9137726,V;PRS;3;PL
analizować,analizujecie,0.8696088,V;PRS;2;PL
analizować,analizujemy,0.8918608,V;PRS;1;PL
analizować,analizujesz,0.8814433,V;PRS;2;SG
analizować,analizuję,0.8526876,V;PRS;1;SG
analizować,analizuje,0.9454825,V;PRS;3;SG
analizować,będą analizowali,0.8865079,V;FUT;3;PL;MASC;HUM
analizować,będą analizowały,0.8918497,V;FUT;3;PL
analizować,będę analizowała,0.86384964,V;FUT;1;SG;FEM
analizować,będę analizował,0.85596055,V;FUT;1;SG;MASC
analizować,będzie analizowała,0.86044973,V;FUT;3;SG;FEM
analizować,będzie analizowało,0.86016816,V;FUT;3;SG;NEUT
analizować,będzie analizował,0.81811047,V;FUT;3;SG;MASC
analizować,będziecie analizowali,0.8525213,V;FUT;2;PL;MASC;HUM
analizować,będziecie analizowały,0.81488025,V;FUT;2;PL
analizować,będziemy analizowali,0.84821695,V;FUT;1;PL;MASC;HUM
analizować,będziemy analizowały,0.8016106,V;FUT;1;PL
analizować,będziesz analizowała,0.8428327,V;FUT;2;SG;FEM
analizować,będziesz analizował,0.8118202,V;FUT;2;SG;MASC
atakować,atakowałam,0.9247788,V;PST;1;SG;FEM
atakować,atakowałaś,0.8918595,V;PST;2;SG;FEM
atakować,atakowała,0.9336785,V;PST;3;SG;FEM
atakować,atakowałem,0.9233874,V;PST;1;SG;MASC
atakować,atakowałeś,0.868507,V;PST;2;SG;MASC
atakować,atakowaliście,0.8620092,V;PST;2;PL;MASC;HUM
atakować,atakowaliśmy,0.8805181,V;PST;1;PL;MASC;HUM
atakować,atakowali,0.9420441,V;PST;3;PL;MASC;HUM
atakować,atakowało,0.92512965,V;PST;3;SG;NEUT
atakować,atakował,0.92779636,V;PST;3;SG;MASC
atakować,atakowałyście,0.8860903,V;PST;2;PL
atakować,atakowałyśmy,0.87395847,V;PST;1;PL
atakować,atakowały,0.9357044,V;PST;3;PL
atakować,atakują,0.8920117,V;PRS;3;PL
atakować,atakujecie,0.8509103,V;PRS;2;PL
atakować,atakujemy,0.86656517,V;PRS;1;PL
atakować,atakujesz,0.8476108,V;PRS;2;SG
atakować,atakuję,0.8677741,V;PRS;1;SG
atakować,atakuje,0.8748537,V;PRS;3;SG
atakować,będą atakowali,0.87091035,V;FUT;3;PL;MASC;HUM
atakować,będą atakowały,0.8765581,V;FUT;3;PL
atakować,będę atakowała,0.8692123,V;FUT;1;SG;FEM
atakować,będę atakował,0.88348216,V;FUT;1;SG;MASC
atakować,będzie atakowała,0.84216326,V;FUT;3;SG;FEM
atakować,będzie atakowało,0.84596986,V;FUT;3;SG;NEUT
atakować,będzie atakował,0.84952307,V;FUT;3;SG;MASC
atakować,będziecie atakowali,0.87591684,V;FUT;2;PL;MASC;HUM
atakować,będziecie atakowały,0.87780493,V;FUT;2;PL
atakować,będziemy atakowali,0.8562129,V;FUT;1;PL;MASC;HUM
atakować,będziemy atakowały,0.8492239,V;FUT;1;PL
atakować,będziesz atakowała,0.85588485,V;FUT;2;SG;FEM
atakować,będziesz atakował,0.85406065,V;FUT;2;SG;MASC
badać,badacie,0.8885174,V;PRS;2;PL
badać,badają,0.9391544,V;PRS;3;PL
badać,badałam,0.9184745,V;PST;1;SG;FEM
badać,badałaś,0.92715764,V;PST;2;SG;FEM
badać,badała,0.8883724,V;PST;3;SG;FEM
badać,badałem,0.84733063,V;PST;1;SG;MASC
badać,badałeś,0.95645475,V;PST;2;SG;MASC
badać,badaliście,0.89855766,V;PST;2;PL;MASC;HUM
badać,badaliśmy,0.93346685,V;PST;1;PL;MASC;HUM
badać,badali,0.95945185,V;PST;3;PL;MASC;HUM
badać,badało,0.880099,V;PST;3;SG;NEUT
badać,badał,0.8719338,V;PST;3;SG;MASC
badać,badałyście,0.908726,V;PST;2;PL
badać,badałyśmy,0.88978153,V;PST;1;PL
badać,badały,0.90108174,V;PST;3;PL
badać,badam,0.9555346,V;PRS;1;SG
badać,badamy,0.959996,V;PRS;1;PL
badać,badasz,0.96602076,V;PRS;2;SG
badać,bada,0.9417806,V;PRS;3;SG
badać,będą badali,0.8916463,V;FUT;3;PL;MASC;HUM
badać,będą badały,0.87131894,V;FUT;3;PL
badać,będę badała,0.8913387,V;FUT;1;SG;FEM
badać,będę badał,0.8935355,V;FUT;1;SG;MASC
badać,będzie badała,0.85958886,V;FUT;3;SG;FEM
badać,będzie badało,0.85823524,V;FUT;3;SG;NEUT
badać,będzie badał,0.84700906,V;FUT;3;SG;MASC
badać,będziecie badali,0.89680827,V;FUT;2;PL;MASC;HUM
badać,będziecie badały,0.8936811,V;FUT;2;PL
badać,będziemy badali,0.887687,V;FUT;1;PL;MASC;HUM
badać,będziemy badały,0.8574636,V;FUT;1;PL
badać,będziesz badała,0.8895538,V;FUT;2;SG;FEM
badać,będziesz badał,0.8800127,V;FUT;2;SG;MASC
bawić,bawią,0.93407536,V;PRS;3;PL
bawić,bawicie,0.91432005,V;PRS;2;PL
bawić,bawię,0.9404532,V;PRS;1;SG
bawić,bawiłam,0.91677123,V;PST;1;SG;FEM
bawić,bawiłaś,0.9220961,V;PST;2;SG;FEM
bawić,bawiła,0.9226787,V;PST;3;SG;FEM
bawić,bawiłem,0.93703854,V;PST;1;SG;MASC
bawić,bawiłeś,0.91808206,V;PST;2;SG;MASC
bawić,bawiliście,0.9206435,V;PST;2;PL;MASC;HUM
bawić,bawiliśmy,0.9195426,V;PST;1;PL;MASC;HUM
bawić,bawili,0.915922,V;PST;3;PL;MASC;HUM
bawić,bawiło,0.91404825,V;PST;3;SG;NEUT
bawić,bawił,0.9409513,V;PST;3;SG;MASC
bawić,bawiłyście,0.92697126,V;PST;2;PL
bawić,bawiłyśmy,0.88347566,V;PST;1;PL
bawić,bawiły,0.9184214,V;PST;3;PL
bawić,bawimy,0.9235466,V;PRS;1;PL
bawić,bawisz,0.90611744,V;PRS;2;SG
bawić,bawi,0.9270293,V;PRS;3;SG
bawić,będą bawili,0.8797443,V;FUT;3;PL;MASC;HUM
bawić,będą bawiły,0.8956272,V;FUT;3;PL
bawić,będę bawiła,0.89448893,V;FUT;1;SG;FEM
bawić,będę bawił,0.90810466,V;FUT;1;SG;MASC
bawić,będzie bawiła,0.88604283,V;FUT;3;SG;FEM
bawić,będzie bawiło,0.9006589,V;FUT;3;SG;NEUT
bawić,będzie bawił,0.90047705,V;FUT;3;SG;MASC
bawić,będziecie bawili,0.90686077,V;FUT;2;PL;MASC;HUM
bawić,będziecie bawiły,0.9014479,V;FUT;2;PL
bawić,będziemy bawili,0.9107509,V;FUT;1;PL;MASC;HUM
bawić,będziemy bawiły,0.8766768,V;FUT;1;PL
bawić,będziesz bawiła,0.87340456,V;FUT;2;SG;FEM
bawić,będziesz bawił,0.9020791,V;FUT;2;SG;MASC
biegać,będą biegali,0.8817918,V;FUT;3;PL;MASC;HUM
biegać,będą biegały,0.86966735,V;FUT;3;PL
biegać,będę biegała,0.8639892,V;FUT;1;SG;FEM
biegać,będę biegał,0.87622577,V;FUT;1;SG;MASC
biegać,będzie biegała,0.87002194,V;FUT;3;SG;FEM
biegać,będzie biegało,0.8869801,V;FUT;3;SG;NEUT
biegać,będzie biegał,0.89184856,V;FUT;3;SG;MASC
biegać,będziecie biegali,0.933462,V;FUT;2;PL;MASC;HUM
biegać,będziecie biegały,0.9099686,V;FUT;2;PL
biegać,będziemy biegali,0.9110874,V;FUT;1;PL;MASC;HUM
biegać,będziemy biegały,0.8805881,V;FUT;1;PL
biegać,będziesz biegała,0.88373613,V;FUT;2;SG;FEM
biegać,będziesz biegał,0.9066315,V;FUT;2;SG;MASC
biegać,biegacie,0.96276647,V;PRS;2;PL
biegać,biegają,0.9147753,V;PRS;3;PL
biegać,biegałam,0.94982684,V;PST;1;SG;FEM
biegać,biegałaś,0.95405126,V;PST;2;SG;FEM
biegać,biegała,0.9370154,V;PST;3;SG;FEM
biegać,biegałem,0.91027457,V;PST;1;SG;MASC
biegać,biegałeś,0.94792086,V;PST;2;SG;MASC
biegać,biegaliście,0.8622208,V;PST;2;PL;MASC;HUM
biegać,biegaliśmy,0.92877436,V;PST;1;PL;MASC;HUM
