pivot,inflection,P-I similarity
orar,oro,0.7045544058066724
orar,oras,0.9676825957858851
orar,orás,0.9177307699359973
orar,ora,0.9097504716605266
orar,ora,0.9097504716605266
orar,oramos,0.9272370434588857
orar,oráis,0.8596658191003538
orar,oran,0.9797761929867201
orar,oraba,0.9224596640246198
orar,orabas,0.9068262586854018
orar,oraba,0.9224596640246198
orar,oraba,0.9224596640246198
orar,orábamos,0.9029428060418695
orar,orabais,0.9070113175504214
orar,oraban,0.9223750158184191
orar,oraré,0.9371562936904088
orar,orarás,0.9103783412817396
orar,orará,0.9396814944848394
orar,orará,0.9396814944848394
orar,oraremos,0.9256804851867834
orar,oraréis,0.8768320261684247
orar,orarán,0.91367198086288
oler,huelo,0.8975556175371704
oler,hueles,0.9024910121505837
oler,olés,0.8965589296047544
oler,huele,0.8882823062510571
oler,huele,0.8882823062510571
oler,olemos,0.9271516845171877
oler,oléis,0.8853227821114014
oler,huelen,0.8854582910549119
oler,olía,0.9134515921822789
oler,olías,0.9087253025402527
oler,olía,0.9134515921822789
oler,olía,0.9134515921822789
oler,olíamos,0.8791722267903928
oler,olíais,0.8904413714215449
oler,olían,0.9202820318959897
oler,oleré,0.9280594021101289
oler,olerás,0.929705822538896
oler,olerá,0.9337210076917694
oler,olerá,0.9337210076917694
oler,oleremos,0.9248961115911826
oler,oleréis,0.90834339449707
oler,olerán,0.9138782710138373
mandonear,mandoneo,0.9717249999115247
mandonear,mandoneas,0.954732916469164
mandonear,mandoneás,0.9615265006668149
mandonear,mandonea,0.9662361297920158
mandonear,mandonea,0.9662361297920158
mandonear,mandoneamos,0.963733962108109
mandonear,mandoneáis,0.9524991143866615
mandonear,mandonean,0.9832199658482579
mandonear,mandoneaba,0.9702195382850013
mandonear,mandoneabas,0.970624604048893
mandonear,mandoneaba,0.9702195382850013
mandonear,mandoneaba,0.9702195382850013
mandonear,mandoneábamos,0.9454735052744079
mandonear,mandoneabais,0.9392462480938247
mandonear,mandoneaban,0.964133178225098
mandonear,mandonearé,0.9599630065329814
mandonear,mandonearás,0.9628428298480272
mandonear,mandoneará,0.9655853390332402
mandonear,mandoneará,0.9655853390332402
mandonear,mandonearemos,0.9706595856733253
mandonear,mandonearéis,0.9304895950704385
mandonear,mandonearán,0.9707507083213442
contratacar,contrataco,0.9792838203171915
contratacar,contratacas,0.9681396335883969
contratacar,contratacás,0.9760199845154833
contratacar,contrataca,0.9645385626951628
contratacar,contrataca,0.9645385626951628
contratacar,contratacamos,0.9654499081952042
contratacar,contratacáis,0.9132010288896462
contratacar,contratacan,0.9848756806201507
contratacar,contratacaba,0.9640406426850329
contratacar,contratacabas,0.9680475261302502
contratacar,contratacaba,0.9640406426850329
contratacar,contratacaba,0.9640406426850329
contratacar,contratacábamos,0.9505497203967583
contratacar,contratacabais,0.9629470374809405
contratacar,contratacaban,0.9701918276912527
contratacar,contratacaré,0.9748605526637115
contratacar,contratacarás,0.9781974344733304
contratacar,contratacará,0.9740711734605266
contratacar,contratacará,0.9740711734605266
contratacar,contratacaremos,0.9777813496641148
contratacar,contratacaréis,0.9303979315691032
contratacar,contratacarán,0.9823183801949158
abetunar,abetuno,0.9564260029865553
abetunar,abetunas,0.9553558165962477
abetunar,abetunás,0.9435059940262285
abetunar,abetuna,0.9540125937217061
abetunar,abetuna,0.9540125937217061
abetunar,abetunamos,0.9496186942663019
abetunar,abetunáis,0.9511181432171366
abetunar,abetunan,0.9624432303074987
abetunar,abetunaba,0.9572453648541137
abetunar,abetunabas,0.954202781261058
abetunar,abetunaba,0.9572453648541137
abetunar,abetunaba,0.9572453648541137
abetunar,abetunábamos,0.9476678212694518
abetunar,abetunabais,0.9373217680295065
