pivot,derivation,similarity,category,affix
industria,industrial,0.7223476,N:ADJ,-al
PAN,panista,0.6536426,N:ADJ,-ista
mente,mental,0.43831098,V:ADJ,-al
sombra,sombrero,0.7577685,N:N,-ero
coro,coral,0.8307605,N:ADJ,-al
mosca,mosquito,0.8174041,N:N,-ito
matar,matador,0.8663981,N:N,-dor
elegante,elegantemente,0.86010176,ADJ:ADV,-mente
rápido,rápidamente,0.80641663,ADJ:ADV,-mente
chingar,chingón,0.76450133,V:ADJ,-ón
acreditar,acreditación,0.8911046,V:N,-ción
vena,venal,0.529208,N:ADJ,-al
rectángulo,rectangular,0.7946342,N:ADJ,-ar
nucleo,nuclear,0.75984687,V:ADJ,-ar
cerebro,cerebral,0.8126081,N:ADJ,-al
suelto,soltar,0.58769524,ADJ:V,-ar
ángulo,angular,0.6292204,N:V,-ar
ornamento,ornamental,0.78103757,N:ADJ,-al
data,datar,0.3498119,N:V,-ar
diluvio,diluvial,0.91568285,N:ADJ,-al
serie,serial,0.6488223,N:ADJ,-al
descubrir,descubrimiento,0.81108373,V:N,-miento
función,funcionar,0.5615811,N:V,-ar
fiero,feral,0.7367364,ADJ:ADJ,-al
mora,moral,0.6955194,N:N,-al
abuso,abusar,0.7579641,N:V,-ar
chaqueta,chaquetear,0.78530097,N:V,-ear
sisa,sisar,0.68719476,N:V,-ar
conocer,conocimiento,0.45727515,V:N,-miento
despertar,despertador,0.91193676,N:N,-dor
ala,alar,0.50923157,N:ADJ,-ar
La Habana,habanero,0.6916241,N:ADJ,-ero
raza,racismo,0.65876853,V:N,-ismo
lógica,logical,0.7065531,N:ADJ,-al
preciar,despreciar,0.9137778,V:V,des-
mosquito,mosquitero,0.7957605,N:N,-ero
boya,boyar,0.7115212,N:V,-ar
virus,viral,0.5359563,N:ADJ,-al
continente,continental,0.51358056,N:ADJ,-al
fino,finito,0.742386,ADJ:ADJ,-ito
rata,ratón,0.6923849,N:N,-ón
marina,marinero,0.81499803,N:N,-ero
