pivot,derivation,similarity,category,affix
słowo,słownik,0.9398843,N:N,-nik
mata,matka,0.8957287,N:N,-ka
dziewczyna,dziewczynka,0.9837844,N:N,-ka
długi,długość,0.84173113,ADJ:N,-ość
miły,miłość,0.90331656,ADJ:N,-ość
wysoki,wysokość,0.80129564,ADJ:N,-ość
książka,książeczka,0.91928875,N:N,-eczka
łyżka,łyżeczka,0.9771852,N:N,-eczka
drukować,drukarka,0.8528512,V:N,-arka
cebula,cebulka,0.9383512,N:N,-ka
herbata,herbatka,0.75157154,N:N,-ka
chłop,chłopak,0.95610523,N:N,-ak
chłop,chłopiec,0.98205316,N:N,-iec
nauczyciel,nauczycielka,0.9267537,N:N,-ka
nauczyć,nauczyciel,0.7706839,V:N,-ciel
kwiat,kwiatek,0.98072517,N:N,-ek
woda,wódka,0.93697023,N:N,-ka
wola,wolny,0.93980056,N:ADJ,-ny
Polska,polski,0.8446808,N:ADJ,-ski
miły,mile,0.87702966,ADJ:ADV,-e
gram,kilogram,0.88728046,ADJ:N,kilo-
Krak,Kraków,0.8134962,N:N,-ów
złoto,złoty,0.77308846,N:ADJ,-y
rysa,ryska,0.87696534,N:N,-ka
kania,kani,0.9596969,N:ADJ,-i
marchew,marchewka,0.96533203,N:N,-ka
para,parka,0.7439047,N:N,-ka
wymóc,wymagać,0.88244075,V:V,-ać
Google,googlować,0.8393397,N:V,-ować
ewentualny,ewentualnie,0.97297144,ADJ:ADV,-ie
oczywisty,oczywiście,0.93393254,ADJ:ADV,-ie
baba,babi,0.984267,N:ADJ,-i
pieprz,pieprzyć,0.9089723,N:V,-yć
wierzba,Wierzbowski,0.8852602,N:N,-ski
kilka,kilkanaście,0.94045115,N:N,-naście
termin,terminator,0.8936745,N:N,-ator
baba,babka,0.956688,ADJ:N,-ka
Anglia,angol,0.82340956,N:N,-ol
dół,dolina,0.87833005,N:N,-ina
plon,międzyplon,0.9224361,N:N,między-
mulcz,mulczować,0.9034545,N:V,-ować
obły,oblak,0.8733871,ADJ:N,-ak
mrówka,mrównik,0.9808982,N:N,-nik
ucho,uszny,0.93157995,N:ADJ,-ny
Polak,Polka,0.8720876,N:N,-ka
mulczować,mulczujący,0.9282953,V:ADJ,-ący
mulczować,mulczowanie,0.94360363,V:N,-anie
pisać,pismo,0.91187936,V:N,-mo
kot,kotka,0.8907487,N:N,-ka
aktor,aktorka,0.87134814,N:N,-ka
kowal,Kowalska,0.875757,N:N,-ska
kowal,Kowalski,0.8682105,N:N,-ski
kuna,kuni,0.81782436,N:ADJ,-i
orać,orka,0.9486183,V:N,-ka
róża,różowy,0.9418897,N:ADJ,-owy
brąz,brązowy,0.8797913,N:ADJ,-owy
niebo,niebieski,0.9153263,N:ADJ,-ski
rozebrać,rozbierać,0.9729769,V:V,-ać
sen,snowy,0.83403236,N:ADJ,-owy
lekko,lekce,0.9431428,ADV:ADV,-e
tarń,tarka,0.91359895,N:N,-ka
brat,brach,0.8674065,N:N,-ch
dać,dany,0.9553191,V:ADJ,-any
lotny,lotnisko,0.9348808,ADJ:N,-isko
chemia,chemiczny,0.8528523,N:ADJ,-iczny
mięso,mięsień,0.9606698,N:N,-eń
kocioł,kotlina,0.9099622,N:N,-ina
córa,córka,0.7772873,N:N,-ka
stary,stara,0.95414335,ADJ:N,-a
lipa,lipiec,0.9551766,N:N,-iec
sierp,sierpień,0.7751052,N:N,-eń
wrzos,wrzesień,0.8595216,N:N,-eń
paździerz,październik,0.89757943,N:N,-nik
siadać,posiadać,0.8416215,V:V,po-
konać,pokonać,0.928215,V:V,po-
łamać,złamać,0.9614849,V:V,z-
kula,kulka,0.97117037,N:N,-ka
częsty,często,0.93464714,ADJ:ADV,-o
śniadać,śniadanie,0.97708136,V:N,-anie
lśnić,lśniący,0.9587014,V:ADJ,-ący
ogon,ogonek,0.96331906,N:N,-ek
szkoda,szkodzić,0.9650206,N:V,-ić
widzieć,widzenie,0.9280169,V:N,-enie
nazwać,nazywać,0.9638882,V:V,-ać
nazwać,nazwisko,0.7980336,V:N,-isko
chód,samochód,0.9164662,N:N,samo-
ołów,ołówek,0.9476163,N:N,-ek
przyjemny,przyjemność,0.93681073,ADJ:N,-ość
wygodny,wygodnie,0.9647984,ADJ:ADV,-ie
kręcić,skręcić,0.9583994,V:V,s-
zwiedzić,zwiedzać,0.9668141,V:V,-ać
wybrać,wybierać,0.95530486,V:V,-ać
skrzyżować,skrzyżowanie,0.93797797,V:N,-anie
zdjąć,zdjęcie,0.86707705,V:N,-ęcie
zostawić,zostawiać,0.94811386,V:V,-ać
pederasta,pedał,0.9162579,N:N,-ał
ontologia,paleontologia,0.931947,N:N,paleo-
miś,misi,0.9039604,N:ADJ,-i
wiatr,wiatrak,0.9729731,N:N,-ak
kita,kitka,0.9447556,N:N,-ka
Moskal,moch,0.9233758,N:N,-ch
paść,padać,0.942482,V:V,-adać
Kaczyński,kaczysta,0.94110996,N:N,-ysta
społeczny,społeczeństwo,0.94025666,ADJ:N,-stwo
chudy,chudoba,0.96030587,ADJ:N,-oba
ser,sernik,0.92463243,N:N,-nik
teizm,monoteizm,0.9626573,N:N,mono-
suchy,sucho,0.96599245,ADJ:ADV,-o
mina,minka,0.9397112,N:N,-ka
zad,zadek,0.94710255,N:N,-ek
pacnąć,packa,0.8991563,V:N,-ka
lotnisko,lotniskowiec,0.8967775,N:N,-owiec
skupić,skupina,0.8554302,V:N,-ina
lizać,Polizei,0.82137865,V:V,po-
misa,miska,0.97352535,N:N,-ka
pszczoła,pszczółka,0.98519856,N:N,-ka
ciasto,ciastko,0.9571718,N:N,-ko
orzeł,orli,0.87430763,N:ADJ,-i
osa,osi,0.8874702,N:ADJ,-i
elf,elfi,0.95444,N:ADJ,-i
muł,muli,0.87583214,N:ADJ,-i
pomarańcza,pomarańczowy,0.9714769,N:ADJ,-owy
kulturysta,kulturystka,0.94654536,N:N,-ka
gonić,goniec,0.8935496,V:N,-ec
skok,skoczek,0.9395534,N:N,-ek
Portugalia,Portugalka,0.9655748,N:N,-ka
mocz,mocznik,0.9588361,N:N,-nik
Jan,Janik,0.96103525,N:N,-ik
lot,samolot,0.9015746,N:N,samo-
baba,babcia,0.9649538,N:N,-cia
dziad,dziadek,0.94936967,N:N,-ek
historia,prehistoria,0.9208639,N:N,pre-
siatka,siatkówka,0.9151702,N:N,-ówka
grafia,kryptografia,0.94826275,N:N,krypto-
analizować,analizator,0.79137456,V:N,-ator
mózgowie,śródmózgowie,0.93729955,N:N,śród-
Lach,laski,0.92995626,N:ADJ,-ski
grupa,podgrupa,0.87549406,N:N,pod-
kombinować,kombinator,0.87917924,V:N,-ator
demon,demonologia,0.9445341,N:N,-logia
Ryga,ryski,0.89730525,N:ADJ,-ski
etan,etanol,0.8291941,N:N,-ol
uczyć,samouk,0.8667314,V:N,samo-
tresa,treska,0.96977806,N:N,-ka
reporter,reporterka,0.83063173,N:N,-ka
Bruksela,brukselka,0.870185,N:N,-ka
fiolet,fioletowy,0.9489736,N:ADJ,-owy
purpura,purpurowy,0.9237201,N:ADJ,-owy
beż,beżowy,0.9349771,N:ADJ,-owy
turkus,turkusowy,0.9073036,N:ADJ,-owy
granat,granatowy,0.8874634,N:ADJ,-owy
błękit,błękitny,0.9687033,N:ADJ,-ny
kropka,dwukropek,0.93670064,N:N,dwu-
okrężny,okrężnica,0.866452,ADJ:N,-ica
przecinać,przecinek,0.94238013,V:N,-ek
indyk,indyczka,0.8974683,N:N,-ka
użycie,nadużycie,0.92920667,N:N,nad-
kot,kotek,0.89084744,N:N,-ek
kot,kocica,0.86677814,N:N,-ica
słoń,słonica,0.96913,N:N,-ica
rzeczowy,rzeczownik,0.89133984,ADJ:N,-nik
mały,malutki,0.8710428,ADJ:ADJ,-utki
czasowy,czasownik,0.7963582,ADJ:N,-nik
kierować,kierownik,0.76509005,V:N,-nik
kierownik,kierowniczka,0.89260817,N:N,-ka
godny,godność,0.89182526,ADJ:N,-ość
kazać,wskazać,0.9273425,V:V,ws-
znaczyć,wyznaczyć,0.9326883,V:V,wy-
trafić,potrafić,0.95669025,V:V,po-
lekarz,lekarstwo,0.8855951,N:N,-stwo
pion,pionek,0.9566128,N:N,-ek
mierzalny,niemierzalny,0.9590531,ADJ:ADJ,nie-
liczba,liczebnik,0.86353254,N:N,-nik
król,królowa,0.9566604,N:N,-owa
car,caryca,0.92758805,N:N,-yca
dostrzec,dostrzegać,0.96162623,V:V,-ać
stary,starość,0.8967142,ADJ:N,-ość
dorosły,dorosłość,0.8930991,N:N,-ość
pełnoletni,pełnoletniość,0.9174295,ADJ:N,-ość
Czech,Czeszka,0.8731124,N:N,-ka
podlać,podlewać,0.80343086,V:V,-wać
koń,konik,0.9055508,N:N,-ik
zwierz,zwierzę,0.9526069,N:N,-ę
beton,betonowy,0.87427354,N:ADJ,-owy
wiatr,wietrzyć,0.8894783,N:V,-yć
napowietrzyć,napowietrzać,0.9650571,V:V,-ać
stryj,stryjek,0.96418047,N:N,-ek
zimny,zimno,0.9377611,ADJ:ADV,-o
przeziębić,przeziębienie,0.9461305,V:N,-enie
puch,puszka,0.9424558,N:N,-ka
ametyst,ametystowy,0.93991876,N:ADJ,-owy
studia,studiować,0.89737165,N:V,-ować
jedność,jednostka,0.9332684,N:N,-ka
rudy,rudo,0.9686269,ADJ:ADV,-o
szczep,szczepowy,0.95784384,N:ADJ,-owy
prowadzić,poprowadzić,0.8867521,V:V,po-
prowadzić,zaprowadzić,0.9293803,V:V,za-
doprowadzić,doprowadzać,0.9721064,V:V,-ać
przeprowadzić,przeprowadzać,0.9805296,V:V,-ać
wskazać,wskazywać,0.9774385,V:V,-ywać
wodzić,dowodzić,0.93989587,V:V,do-
wodzić,przewodzić,0.9309786,V:V,prze-
chodzić,wychodzić,0.89823884,V:V,wy-
przód,przodować,0.88979834,N:V,-ować
brać,wybrać,0.8758107,V:V,wy-
prosty,prostak,0.91812557,ADJ:N,-ak
administrator,administratorka,0.90674853,N:N,-ka
kość,kostka,0.94611466,N:N,-ka
Litwa,litewski,0.8633074,N:ADJ,-ski
igła,iglica,0.9258799,N:N,-ica
Polska,Małopolska,0.87864214,N:N,mało-
mały,mało,0.962029,ADJ:N,-o
bezczelny,bezczelność,0.9390129,ADJ:N,-ość
zuchwały,zuchwalstwo,0.94137704,ADJ:N,-stwo
teizm,politeizm,0.9624963,N:N,poli-
liczyć,liczba,0.82256347,V:N,-ba
niemy,Niemiec,0.816393,ADJ:N,-iec
wiele,niewiele,0.9260096,ADV:N,nie-
podać,podatek,0.95374537,V:N,-ek
otworzyć,otwarty,0.8511129,V:ADJ,-ty
otworzyć,otwierać,0.9700186,V:V,-ać
ostać,ostatni,0.8481008,V:ADJ,-ni
zabić,zabijać,0.97517693,V:V,-ać
legły,równoległy,0.8537436,V:ADJ,równo-
czynny,czynność,0.8717032,ADJ:N,-ość
przyszły,przyszłość,0.88835186,ADJ:N,-ość
ile,ilość,0.7519407,N:N,-ość
wschód,wschodni,0.84874415,N:ADJ,-ni
zachód,zachodni,0.7480976,N:ADJ,-ni
syn,synowa,0.8030805,N:N,-owa
kopać,kopalnia,0.94888675,V:N,-alnia
miedź,miedziany,0.9569353,N:ADJ,-any
Bułgaria,bułgarski,0.8211565,N:ADJ,-ski
zainteresować,zainteresowanie,0.8830676,V:N,-anie
żelazo,żelazko,0.98775935,N:N,-ko
nora,nornica,0.943482,N:N,-nica
ciemny,ciemność,0.93498725,ADJ:N,-ość
próżny,próżnia,0.8881063,ADJ:N,-nia
odkurzać,odkurzacz,0.92802596,V:N,-acz
młot,młotek,0.97512984,N:N,-ek
Ameryka,Amerykanin,0.92854625,N:N,-nin
Ameryka,amerykański,0.7883458,N:ADJ,-ski
obecny,obecnie,0.82426137,ADJ:ADV,-ie
zamknąć,zamykać,0.93205506,V:V,-ać
zegar,zegarek,0.95391846,N:N,-ek
wart,wartość,0.79433554,ADJ:N,-ość
głupi,głupek,0.95698005,ADJ:N,-ek
samobójca,samobójstwo,0.95901877,N:N,-stwo
alkohol,alkoholowy,0.8613989,N:ADJ,-owy
myć,mydło,0.90943253,V:N,-dło
spadać,wodospad,0.9232576,V:N,wodo-
gwiazda,rozgwiazda,0.9654807,N:N,roz-
chciwy,chciwość,0.9340406,ADJ:N,-ość
mianować,mianownik,0.80437624,V:N,-nik
dopełniać,dopełniacz,0.9224431,V:N,-acz
celować,celownik,0.8215039,V:N,-nik
bierny,biernik,0.9567105,N:N,-nik
narzędzie,narzędnik,0.9328875,N:N,-nik
miejsce,miejscownik,0.71767735,N:N,-ownik
