pivot,inflection,similarity,category
abonować,sprawdzicie,0.62551546,V;FUT;2;PL
abonować,lansowałyśmy,0.65614253,V;PST;1;PL
abonować,będziecie absorbowały,0.67228585,V;FUT;2;PL
abonować,będziemy pięły,0.60784554,V;FUT;1;PL
abonować,będziecie dotykały,0.6123156,V;FUT;2;PL
abonować,podochodził,0.6244942,V;PST;3;SG;MASC
abonować,wyjrzała,0.609489,V;PST;3;SG;FEM
abonować,gadałyśmy,0.52431643,V;PST;1;PL
abonować,lizaliśmy,0.6708064,V;PST;1;PL;MASC;HUM
abonować,będzie spodziewał,0.610839,V;FUT;3;SG;MASC
abonować,sprzęgłyście,0.6560713,V;PST;2;PL
abonować,przegapiłam,0.6657462,V;PST;1;SG;FEM
abonować,mamroczemy,0.60965943,V;PRS;1;PL
abonować,jebnęło,0.6582337,V;PST;3;SG;NEUT
abonować,odwiedzały,0.67344475,V;PST;3;PL
abonować,przyjmujesz,0.6410605,V;PRS;2;SG
abonować,uczęszczacie,0.6699841,V;PRS;2;PL
abonować,będziecie błądzili,0.54228866,V;FUT;2;PL;MASC;HUM
abonować,pojawiają,0.68351877,V;PRS;3;PL
abonować,będę szczekał,0.57127476,V;FUT;1;SG;MASC
abonować,przeżuł,0.64684516,V;PST;3;SG;MASC
abonować,kimałem,0.582629,V;PST;1;SG;MASC
abonować,będzie kosiła,0.578262,V;FUT;3;SG;FEM
abonować,uderzyłeś,0.59039795,V;PST;2;SG;MASC
abonować,kwestionowaliśmy,0.66995025,V;PST;1;PL;MASC;HUM
abonować,zazdrościli,0.66264415,V;PST;3;PL;MASC;HUM
abonować,wisiał,0.64434636,V;PST;3;SG;MASC
abonować,drapała,0.5360345,V;PST;3;SG;FEM
abonować,wpływają,0.6970897,V;PRS;3;PL
abonować,wybuchnęliście,0.66906947,V;PST;2;PL;MASC;HUM
abonować,przesadza,0.5924653,V;PRS;3;SG
abonować,potrzebował,0.6783407,V;PST;3;SG;MASC
absorbować,konfigurowało,0.6133124,V;PST;3;SG;NEUT
absorbować,będziesz chłeptał,0.6212577,V;FUT;2;SG;MASC
absorbować,pląsacie,0.6466175,V;PRS;2;PL
absorbować,będzie zapierdalała,0.54291755,V;FUT;3;SG;FEM
absorbować,będziemy analizowały,0.5816583,V;FUT;1;PL
absorbować,wygrała,0.49489737,V;PST;3;SG;FEM
absorbować,będę trwała,0.51240516,V;FUT;1;SG;FEM
absorbować,dusiłam,0.57861984,V;PST;1;SG;FEM
absorbować,zieje,0.54189885,V;PRS;3;SG
absorbować,będziesz znikała,0.53851277,V;FUT;2;SG;FEM
absorbować,dąsałaś,0.57765186,V;PST;2;SG;FEM
absorbować,będą łamały,0.6303048,V;FUT;3;PL
absorbować,będziecie tlały,0.6213847,V;FUT;2;PL
absorbować,plotkowałyśmy,0.49534094,V;PST;1;PL
absorbować,będę lgnęła,0.58534336,V;FUT;1;SG;FEM
absorbować,będzie filmował,0.591447,V;FUT;3;SG;MASC
absorbować,będą dowodziły,0.57251596,V;FUT;3;PL
absorbować,siedziałam,0.524623,V;PST;1;SG;FEM
absorbować,poznałyście,0.4662503,V;PST;2;PL
absorbować,będzie płynęła,0.60844404,V;FUT;3;SG;FEM
absorbować,przepraszałeś,0.5380349,V;PST;2;SG;MASC
absorbować,będziemy nadzorowali,0.6373029,V;FUT;1;PL;MASC;HUM
absorbować,będziecie konkurowały,0.5937815,V;FUT;2;PL
absorbować,posiadałam,0.50153714,V;PST;1;SG;FEM
absorbować,wyruchał,0.6664121,V;PST;3;SG;MASC
absorbować,zamówiłam,0.6057315,V;PST;1;SG;FEM
absorbować,będą refowały,0.6294441,V;FUT;3;PL
absorbować,krzyczałem,0.5266783,V;PST;1;SG;MASC
absorbować,mieszka,0.4969064,V;PRS;3;SG
absorbować,będzie rąbało,0.56538844,V;FUT;3;SG;NEUT
absorbować,będziemy oceniały,0.60321575,V;FUT;1;PL
absorbować,będziemy unikały,0.6196378,V;FUT;1;PL
analizować,śpiewaliście,0.5886516,V;PST;2;PL;MASC;HUM
analizować,będę mył,0.5000934,V;FUT;1;SG;MASC
analizować,będą podziwiały,0.57253605,V;FUT;3;PL
analizować,brodzimy,0.6242882,V;PRS;1;PL
analizować,kupiłyście,0.58684224,V;PST;2;PL
analizować,bębniliśmy,0.63537544,V;PST;1;PL;MASC;HUM
analizować,zweryfikujecie,0.6180333,V;FUT;2;PL
analizować,sprzątnął,0.62672955,V;PST;3;SG;MASC
analizować,będą przodowały,0.5982945,V;FUT;3;PL
analizować,będą należeli,0.69738704,V;FUT;3;PL;MASC;HUM
analizować,będziemy spadali,0.5909436,V;FUT;1;PL;MASC;HUM
analizować,żartuję,0.7950282,V;PRS;1;SG
analizować,będzie okradał,0.52376264,V;FUT;3;SG;MASC
analizować,będą szczuli,0.5529628,V;FUT;3;PL;MASC;HUM
analizować,odbijałyście,0.6659677,V;PST;2;PL
analizować,rzucałyśmy,0.5935182,V;PST;1;PL
analizować,przesadzała,0.5021835,V;PST;3;SG;FEM
analizować,poróżniliście,0.52392393,V;PST;2;PL;MASC;HUM
analizować,rosła,0.7896935,V;PST;3;SG;FEM
analizować,wyłudzili,0.6682022,V;PST;3;PL;MASC;HUM
analizować,będziecie obiecywali,0.55602634,V;FUT;2;PL;MASC;HUM
analizować,ruszali,0.68393993,V;PST;3;PL;MASC;HUM
analizować,podochodziły,0.54918927,V;PST;3;PL
analizować,będziecie brudzili,0.5139064,V;FUT;2;PL;MASC;HUM
analizować,oddaliśmy,0.64445895,V;PST;1;PL;MASC;HUM
analizować,będziecie słyszały,0.54103154,V;FUT;2;PL
analizować,będę łudził,0.54845375,V;FUT;1;SG;MASC
analizować,kopiowaliśmy,0.68768734,V;PST;1;PL;MASC;HUM
analizować,będzie ściągało,0.48963118,V;FUT;3;SG;NEUT
analizować,kicał,0.569652,V;PST;3;SG;MASC
analizować,staracie,0.62627363,V;PRS;2;PL
analizować,będzie edytowało,0.5959759,V;FUT;3;SG;NEUT
atakować,dzierżymy,0.5950164,V;PRS;1;PL
atakować,unikała,0.61318904,V;PST;3;SG;FEM
atakować,nazywałem,0.6626647,V;PST;1;SG;MASC
atakować,chwieje,0.44156063,V;PRS;3;SG
atakować,będziecie eksperymentowali,0.54372436,V;FUT;2;PL;MASC;HUM
atakować,rozmyślałyście,0.41550928,V;PST;2;PL
atakować,będzie poiła,0.5065769,V;FUT;3;SG;FEM
atakować,będziesz rozpaczała,0.44767827,V;FUT;2;SG;FEM
atakować,łaknęło,0.5635527,V;PST;3;SG;NEUT
atakować,postradasz,0.40071672,V;FUT;2;SG
atakować,obciążałeś,0.5349118,V;PST;2;SG;MASC
atakować,umierała,0.5272477,V;PST;3;SG;FEM
atakować,wyloguje,0.62621754,V;FUT;3;SG
atakować,dbałyście,0.52251023,V;PST;2;PL
atakować,ryczała,0.5898597,V;PST;3;SG;FEM
atakować,zarezerwowało,0.6361722,V;PST;3;SG;NEUT
atakować,dąsał,0.61775756,V;PST;3;SG;MASC
atakować,demontowaliśmy,0.607697,V;PST;1;PL;MASC;HUM
atakować,będzie płakało,0.43143177,V;FUT;3;SG;NEUT
atakować,będzie wracało,0.45184594,V;FUT;3;SG;NEUT
atakować,wysiadłem,0.52143025,V;PST;1;SG;MASC
atakować,numerował,0.6098,V;PST;3;SG;MASC
atakować,pojawiała,0.6858108,V;PST;3;SG;FEM
atakować,będziecie negocjowały,0.5805626,V;FUT;2;PL
atakować,buchało,0.5595853,V;PST;3;SG;NEUT
atakować,będą rzucali,0.5754064,V;FUT;3;PL;MASC;HUM
atakować,przeprowadzała,0.69194347,V;PST;3;SG;FEM
atakować,rozproszyłyśmy,0.52256775,V;PST;1;PL
atakować,wkurwiałeś,0.498466,V;PST;2;SG;MASC
atakować,czyszczą,0.72267896,V;PRS;3;PL
atakować,będziesz drapał,0.47516716,V;FUT;2;SG;MASC
atakować,refowałeś,0.61901987,V;PST;2;SG;MASC
badać,wyglądam,0.8274889,V;PRS;1;SG
badać,łudził,0.6704553,V;PST;3;SG;MASC
badać,zaproszę,0.60858405,V;FUT;1;SG
badać,nękaliśmy,0.6583124,V;PST;1;PL;MASC;HUM
badać,chwiały,0.6098447,V;PST;3;PL
badać,korzystałaś,0.5912348,V;PST;2;SG;FEM
badać,śniadał,0.6131419,V;PST;3;SG;MASC
badać,będziemy obciążali,0.54570735,V;FUT;1;PL;MASC;HUM
badać,tłumaczyłem,0.59597397,V;PST;1;SG;MASC
badać,ziewają,0.5919656,V;PRS;3;PL
badać,rozwijałem,0.6809703,V;PST;1;SG;MASC
badać,znosiłyście,0.6280213,V;PST;2;PL
badać,zaproszą,0.6410792,V;FUT;3;PL
badać,będziemy cytowali,0.5868542,V;FUT;1;PL;MASC;HUM
badać,będzie szantażowała,0.52467155,V;FUT;3;SG;FEM
badać,brodziło,0.63889796,V;PST;3;SG;NEUT
badać,będziesz kłusował,0.5330281,V;FUT;2;SG;MASC
badać,pisał,0.6609708,V;PST;3;SG;MASC
badać,czaił,0.613154,V;PST;3;SG;MASC
badać,otworzyłyście,0.5618444,V;PST;2;PL
badać,będziemy oświetlały,0.58370286,V;FUT;1;PL
