pivot,derivation,similarity,category,affix
industria,industrial,0.6088338059352923,N:ADJ,-al
PAN,panista,0.8847307774242786,N:ADJ,-ista
mente,mental,0.5193919113558527,V:ADJ,-al
sombra,sombrero,0.33740154482023954,N:N,-ero
coro,coral,0.4481498427441195,N:ADJ,-al
mosca,mosquito,0.5685511155741098,N:N,-ito
matar,matador,0.3413831102845597,N:N,-dor
elegante,elegantemente,0.7124202619989937,ADJ:ADV,-mente
rápido,rápidamente,0.574826715500611,ADJ:ADV,-mente
chingar,chingón,0.7269561774150979,V:ADJ,-ón
acreditar,acreditación,0.5603141696539178,V:N,-ción
vena,venal,0.16226356053448598,N:ADJ,-al
rectángulo,rectangular,0.6412244907530795,N:ADJ,-ar
nucleo,nuclear,0.23097526268873014,V:ADJ,-ar
cerebro,cerebral,0.7356758503415961,N:ADJ,-al
suelto,soltar,0.48972526435643193,ADJ:V,-ar
ángulo,angular,0.4685681370562952,N:V,-ar
ornamento,ornamental,0.6093332753661779,N:ADJ,-al
data,datar,0.5546620469571166,N:V,-ar
diluvio,diluvial,0.38161146442239846,N:ADJ,-al
serie,serial,0.45805032925129074,N:ADJ,-al
descubrir,descubrimiento,0.5842480577977112,V:N,-miento
función,funcionar,0.35942503039058527,N:V,-ar
fiero,feral,0.5021362765320201,ADJ:ADJ,-al
mora,moral,0.10147504143707009,N:N,-al
abuso,abusar,0.6051583032822081,N:V,-ar
sisa,sisar,0.5668801317368091,N:V,-ar
conocer,conocimiento,0.4622440377220769,V:N,-miento
despertar,despertador,0.3035005558225963,N:N,-dor
ala,alar,0.450624574299167,N:ADJ,-ar
raza,racismo,0.40195075324203466,V:N,-ismo
lógica,logical,0.4192046473099481,N:ADJ,-al
preciar,despreciar,0.4983417565803714,V:V,des-
mosquito,mosquitero,0.419125253454686,N:N,-ero
virus,viral,0.6858487954576784,N:ADJ,-al
continente,continental,0.5801733927506767,N:ADJ,-al
fino,finito,0.2358626948781064,ADJ:ADJ,-ito
rata,ratón,0.5416409503510536,N:N,-ón
marina,marinero,0.45711520683686246,N:N,-ero
incentivo,incentivar,0.6115807419032929,ADJ:V,-ar
burro,burrito,0.5226364138782181,N:N,-ito
comprar,comprador,0.5555611157949288,V:ADJ,-dor
molécula,molecular,0.6830954204588965,N:ADJ,-ar
alvéolo,alveolar,0.6592867747071024,N:ADJ,-ar
cultura,cultural,0.6873643575265492,N:ADJ,-al
trópico,tropical,0.5128154009577071,ADJ:ADJ,-al
octágono,octagonal,0.5575339459054031,N:ADJ,-al
adición,adicionar,0.4752781997085076,N:V,-ar
fin,finar,0.43649216608152863,N:V,-ar
semicírculo,semicircular,0.667576302861891,N:ADJ,-ar
colonia,colonial,0.3636826731857361,N:ADJ,-al
dialecto,dialectal,0.7606375835542907,N:ADJ,-al
perico,periquito,0.7796166800323296,ADJ:N,-ito
sala,salón,0.7099490546258099,N:N,-ón
zapato,zapatero,0.48886411237982164,N:ADJ,-ero
zigzag,zigzaguear,0.5302307483274837,N:V,-ear
zoología,zoológico,0.38427186911644995,N:ADJ,-ico
vaca,vaquero,0.32619823764007383,N:N,-ero
muro,mural,0.43593671727726335,N:ADJ,-al
útil,útilmente,0.500477598683306,ADJ:ADV,-mente
utilizar,utilización,0.6526764079632227,V:N,-ción
uso,usar,0.6599694768438945,N:V,-ar
urbanizar,urbanización,0.6139447396880305,V:N,-ción
urgente,urgentemente,0.7604927280062737,ADJ:ADV,-mente
ulterior,ulteriormente,0.5068020094085346,ADJ:ADV,-mente
último,últimamente,0.30749054503317574,ADJ:ADV,-mente
unánime,unánimemente,0.6604706164114688,ADJ:ADV,-mente
universal,universalmente,0.47646015521988383,ADJ:ADV,-mente
cabo,cabal,0.1804603194958566,N:ADJ,-al
posta,postal,0.2565666091367871,N:ADJ,-al
macho,machismo,0.28003567065328094,ADJ:N,-ismo
bacteria,bacterial,0.6935664344569078,N:ADJ,-al
civilizar,civilización,0.4300307927068827,V:N,-ción
cubrir,descubrir,0.26027699957527317,V:V,des-
caballo,caballar,0.4891338854395708,N:ADJ,-ar
saber,sabedor,0.4563401162783669,N:ADJ,-dor
sabio,sabiamente,0.439972239494702,N:ADV,-mente
sabor,saborear,0.5586756291861672,N:V,-ear
jabón,jabonar,0.49709041656878294,N:V,-ar
hala,jalear,0.32510236134947224,V:V,-ear
jardín,jardinero,0.5410703127031441,N:N,-ero
jarro,jarrón,0.43216692359132525,N:N,-ón
jinete,jinetear,0.4281073882685186,N:V,-ar
jocoso,jocosamente,0.4777435128391694,ADJ:ADV,-mente
jornal,jornalero,0.5925573423789482,N:N,-ero
jovial,jovialmente,0.5856624083921758,ADJ:ADV,-mente
joya,joyero,0.4300951780675376,N:N,-ero
judicial,judicialmente,0.5750961194581927,ADJ:ADV,-mente
juerga,juerguista,0.504763449202732,N:N,-ista
jugar,jugador,0.7017897147737836,V:N,-dor
juguete,juguetear,0.4022113235363598,N:V,-ar
juguetón,juguetonamente,0.4740524561553576,ADJ:ADV,-mente
junto,juntamente,0.48550687513241975,ADJ:ADV,-mente
