pivot,inflection,P-I similarity
orar,oro,0.7045546
orar,oras,0.96768266
orar,orás,0.91773075
orar,ora,0.9097504
orar,ora,0.9097504
orar,oramos,0.9272373
orar,oráis,0.859666
orar,oran,0.97977614
orar,oraba,0.9224598
orar,orabas,0.9068263
orar,oraba,0.9224598
orar,oraba,0.9224598
orar,orábamos,0.9029428
orar,orabais,0.9070114
orar,oraban,0.922375
orar,oraré,0.93715644
orar,orarás,0.9103784
orar,orará,0.9396817
orar,orará,0.9396817
orar,oraremos,0.9256806
orar,oraréis,0.8768322
orar,orarán,0.91367203
oler,huelo,0.89755553
oler,hueles,0.902491
oler,olés,0.8965588
oler,huele,0.8882822
oler,huele,0.8882822
oler,olemos,0.9271516
oler,oléis,0.8853226
oler,huelen,0.885458
oler,olía,0.9134514
oler,olías,0.9087252
oler,olía,0.9134514
oler,olía,0.9134514
oler,olíamos,0.8791721
oler,olíais,0.8904411
oler,olían,0.9202818
oler,oleré,0.9280593
oler,olerás,0.92970556
oler,olerá,0.93372095
oler,olerá,0.93372095
oler,oleremos,0.924896
oler,oleréis,0.9083433
oler,olerán,0.913878
mandonear,mandoneo,0.97172517
mandonear,mandoneas,0.954733
mandonear,mandoneás,0.9615266
mandonear,mandonea,0.9662362
mandonear,mandonea,0.9662362
mandonear,mandoneamos,0.96373403
mandonear,mandoneáis,0.95249915
mandonear,mandonean,0.98322
mandonear,mandoneaba,0.97021955
mandonear,mandoneabas,0.9706247
mandonear,mandoneaba,0.97021955
mandonear,mandoneaba,0.97021955
mandonear,mandoneábamos,0.9454735
mandonear,mandoneabais,0.93924624
mandonear,mandoneaban,0.96413314
mandonear,mandonearé,0.959963
mandonear,mandonearás,0.96284294
mandonear,mandoneará,0.96558535
mandonear,mandoneará,0.96558535
mandonear,mandonearemos,0.9706595
mandonear,mandonearéis,0.93048954
mandonear,mandonearán,0.9707507
contratacar,contrataco,0.9792838
contratacar,contratacas,0.9681395
contratacar,contratacás,0.97602016
contratacar,contrataca,0.96453863
contratacar,contrataca,0.96453863
contratacar,contratacamos,0.96544987
contratacar,contratacáis,0.91320115
contratacar,contratacan,0.9848757
contratacar,contratacaba,0.9640407
contratacar,contratacabas,0.96804756
contratacar,contratacaba,0.9640407
contratacar,contratacaba,0.9640407
contratacar,contratacábamos,0.95054984
contratacar,contratacabais,0.9629471
contratacar,contratacaban,0.97019184
contratacar,contratacaré,0.9748605
contratacar,contratacarás,0.9781976
contratacar,contratacará,0.97407115
contratacar,contratacará,0.97407115
contratacar,contratacaremos,0.9777813
contratacar,contratacaréis,0.9303981
contratacar,contratacarán,0.9823184
abetunar,abetuno,0.95642614
abetunar,abetunas,0.9553558
abetunar,abetunás,0.94350606
abetunar,abetuna,0.9540127
abetunar,abetuna,0.9540127
abetunar,abetunamos,0.94961876
abetunar,abetunáis,0.95111823
abetunar,abetunan,0.9624434
abetunar,abetunaba,0.9572454
abetunar,abetunabas,0.9542029
abetunar,abetunaba,0.9572454
