pivot,inflection,similarity,category
orar,detendré,0.29118075373280927,V;IND;FUT;1;SG
orar,viabiliza,0.170212823265824,V;IND;PRS;3;SG
orar,reconciliaba,0.42649820655063686,V;IND;PST;IPFV;3;SG
orar,sorprenderá,0.1901282409053101,V;IND;FUT;3;SG
orar,contratamos,0.17574517563708536,V;IND;PRS;1;PL
orar,escalo,0.11434546251336708,V;IND;PRS;1;SG
oler,asciendes,0.44547008826558576,V;IND;PRS;2;SG;INFM
oler,estaquilla,0.3976050313392616,V;IND;PRS;3;SG
oler,estipularán,0.07379588609329313,V;IND;FUT;3;PL
oler,repiqueteo,0.37795183171784497,V;IND;PRS;1;SG
oler,ayudaré,0.2564106611803869,V;IND;FUT;1;SG
oler,ingresaba,0.1520866503681968,V;IND;PST;IPFV;3;SG
contratacar,triunfará,0.32353038665209166,V;IND;FUT;3;SG
contratacar,convivirá,0.0851180719815825,V;IND;FUT;3;SG
contratacar,sacian,0.2609706832434109,V;IND;PRS;3;PL
contratacar,apacentaba,0.3843038749390906,V;IND;PST;IPFV;1;SG
contratacar,plagiaba,0.43523985507882046,V;IND;PST;IPFV;1;SG
contratacar,propendían,0.2872068030502122,V;IND;PST;IPFV;3;PL
contratacar,desolaba,0.5091740945200814,V;IND;PST;IPFV;3;SG
contratacar,desarrollan,0.07753620148842133,V;IND;PRS;3;PL
prometer,vitoreo,0.42978586912831707,V;IND;PRS;1;SG
prometer,rento,0.16906179548811184,V;IND;PRS;1;SG
prometer,reculaba,0.4438987374913518,V;IND;PST;IPFV;1;SG
prometer,emitía,0.062437500469924134,V;IND;PST;IPFV;1;SG
prometer,posibilitará,0.2637195106846968,V;IND;FUT;3;SG
avalar,comprendéis,0.29000027491428704,V;IND;PRS;2;PL
avalar,reintenta,0.34994321780178606,V;IND;PRS;3;SG
avalar,diseñan,0.26197438864210665,V;IND;PRS;3;PL
avalar,ofenderá,0.3420273163673134,V;IND;FUT;3;SG
avalar,intercalaban,0.15505289877302753,V;IND;PST;IPFV;3;PL
escindir,sacaban,0.03419354046735423,V;IND;PST;IPFV;3;PL
escindir,prefigura,0.16052917294125923,V;IND;PRS;3;SG
escindir,cotejo,0.09129200974769736,V;IND;PRS;1;SG
escindir,diezmaba,0.21822939266910357,V;IND;PST;IPFV;3;SG
desleír,impones,0.545001267827516,V;IND;PRS;2;SG;INFM
desleír,extirparán,0.6665499240319971,V;IND;FUT;3;PL
desleír,pido,0.2977660232283339,V;IND;PRS;1;SG
desleír,compráis,0.5929025768806961,V;IND;PRS;2;PL
desleír,enseñoreaba,0.5035276238574755,V;IND;PST;IPFV;1;SG
desleír,potenciaban,0.5511806241854413,V;IND;PST;IPFV;3;PL
excomulgar,fracciona,0.03887479440240382,V;IND;PRS;3;SG
excomulgar,maneja,0.03054362884238404,V;IND;PRS;3;SG
excomulgar,disociamos,0.4142531338527734,V;IND;PRS;1;PL
excomulgar,goteo,0.07720362166880124,V;IND;PRS;1;SG
dormir,desperdigaban,0.443298662801043,V;IND;PST;IPFV;3;PL
dormir,exclamaba,0.35075542366800705,V;IND;PST;IPFV;3;SG
dormir,amamantaba,0.4700508455255199,V;IND;PST;IPFV;1;SG
acumular,forraba,0.20925468541209535,V;IND;PST;IPFV;3;SG
acumular,malcriaba,0.3415494826471248,V;IND;PST;IPFV;3;SG
acumular,perecían,0.29403035747840134,V;IND;PST;IPFV;3;PL
acumular,reformulará,0.2709979172187089,V;IND;FUT;3;SG
acumular,obstruirá,0.3073285103060648,V;IND;FUT;3;SG
disparatar,sujetaba,0.3780835804272962,V;IND;PST;IPFV;3;SG
disparatar,encauzarán,0.44342560201270387,V;IND;FUT;3;PL
disparatar,enrolaba,0.49392296615626563,V;IND;PST;IPFV;3;SG
disparatar,desinhiben,0.6504150323232769,V;IND;PRS;3;PL
disparatar,flexionaba,0.7058700692910557,V;IND;PST;IPFV;1;SG
