pivot,inflection,similarity,category
abonować,abonował,0.5305056255995801,V;PST;3;SG;MASC
abonować,abonują,0.4550816186037605,V;PRS;3;PL
abonować,abonuje,0.502811228753364,V;PRS;3;SG
absorbować,absorbowała,0.45770693401393003,V;PST;3;SG;FEM
absorbować,absorbowali,0.3436261982887193,V;PST;3;PL;MASC;HUM
absorbować,absorbowało,0.41572120726863515,V;PST;3;SG;NEUT
absorbować,absorbował,0.5239667138448634,V;PST;3;SG;MASC
absorbować,absorbowały,0.5050305069172927,V;PST;3;PL
absorbować,absorbują,0.5497237334235283,V;PRS;3;PL
absorbować,absorbujemy,0.498931664090685,V;PRS;1;PL
absorbować,absorbujesz,0.35299513563293305,V;PRS;2;SG
absorbować,absorbuję,0.4310139790080627,V;PRS;1;SG
absorbować,absorbuje,0.5687568728215314,V;PRS;3;SG
analizować,analizowała,0.5761053653278481,V;PST;3;SG;FEM
analizować,analizowali,0.5802255455935907,V;PST;3;PL;MASC;HUM
analizować,analizowało,0.4951482071872553,V;PST;3;SG;NEUT
analizować,analizował,0.6207499864772351,V;PST;3;SG;MASC
analizować,analizowały,0.5232780716052444,V;PST;3;PL
analizować,analizują,0.6009997072175312,V;PRS;3;PL
analizować,analizujecie,0.4281993624154936,V;PRS;2;PL
analizować,analizujemy,0.5802508321419694,V;PRS;1;PL
analizować,analizujesz,0.5027798385300025,V;PRS;2;SG
analizować,analizuję,0.5993394129165959,V;PRS;1;SG
analizować,analizuje,0.6293733412721145,V;PRS;3;SG
atakować,atakowała,0.6791621468719136,V;PST;3;SG;FEM
atakować,atakowali,0.6592358188761273,V;PST;3;PL;MASC;HUM
atakować,atakowało,0.6085915500072502,V;PST;3;SG;NEUT
atakować,atakował,0.6726871851463861,V;PST;3;SG;MASC
atakować,atakowały,0.6213683765496123,V;PST;3;PL
atakować,atakują,0.609298734118513,V;PRS;3;PL
atakować,atakujecie,0.4078343207015931,V;PRS;2;PL
atakować,atakujemy,0.4911001645471891,V;PRS;1;PL
atakować,atakujesz,0.44796949027990673,V;PRS;2;SG
atakować,atakuję,0.4673140517871245,V;PRS;1;SG
atakować,atakuje,0.6087679192309801,V;PRS;3;SG
badać,badacie,0.2555488678662071,V;PRS;2;PL
badać,badają,0.5990766558065906,V;PRS;3;PL
badać,badała,0.5716244297467874,V;PST;3;SG;FEM
badać,badali,0.5702937874349803,V;PST;3;PL;MASC;HUM
badać,badało,0.4584959991890887,V;PST;3;SG;NEUT
badać,badał,0.5801805543562792,V;PST;3;SG;MASC
badać,badały,0.5273597677640398,V;PST;3;PL
badać,badam,0.47730893712969413,V;PRS;1;SG
