pivot,derivation,similarity,category,affix
mata,matka,0.268059781988532,N:N,-ka
dziewczyna,dziewczynka,0.744572248170332,N:N,-ka
długi,długość,0.3389884800176518,ADJ:N,-ość
miły,miłość,0.16297756644074557,ADJ:N,-ość
wysoki,wysokość,0.33774369176955044,ADJ:N,-ość
cebula,cebulka,0.70670178055059,N:N,-ka
herbata,herbatka,0.7566226081686854,N:N,-ka
nauczyciel,nauczycielka,0.7282625102054398,N:N,-ka
kwiat,kwiatek,0.7554421551033744,N:N,-ek
woda,wódka,0.546336198307266,N:N,-ka
wola,wolny,0.22161866278383213,N:ADJ,-ny
Polska,polski,0.25750129948190636,N:ADJ,-ski
rysa,ryska,0.4636188302703743,N:N,-ka
marchew,marchewka,0.7038423777879099,N:N,-ka
para,parka,0.5542622148958635,N:N,-ka
wymóc,wymagać,0.27829458655873773,V:V,-ać
Google,googlować,0.3985039317164758,N:V,-ować
ewentualny,ewentualnie,0.5478835823702342,ADJ:ADV,-ie
oczywisty,oczywiście,0.4872200713315338,ADJ:ADV,-ie
wierzba,Wierzbowski,0.19201147656095252,N:N,-ski
baba,babka,0.6387441384548221,ADJ:N,-ka
mulcz,mulczować,0.5355329708404117,N:V,-ować
ucho,uszny,0.3839232079402144,N:ADJ,-ny
Polak,Polka,0.5442668761961459,N:N,-ka
mulczować,mulczowanie,0.6401886608482282,V:N,-anie
kot,kotka,0.5356904907733275,N:N,-ka
aktor,aktorka,0.7292362866940505,N:N,-ka
kowal,Kowalski,0.3347649388641025,N:N,-ski
orać,orka,0.4297616323969806,V:N,-ka
róża,różowy,0.3558556822203207,N:ADJ,-owy
brąz,brązowy,0.7287199408188272,N:ADJ,-owy
niebo,niebieski,0.3091133932050937,N:ADJ,-ski
rozebrać,rozbierać,0.748245873006054,V:V,-ać
sen,snowy,0.2578510297748855,N:ADJ,-owy
tarń,tarka,0.29098561737748785,N:N,-ka
córa,córka,0.663638088277945,N:N,-ka
kula,kulka,0.6913109145014963,N:N,-ka
częsty,często,0.509294271258469,ADJ:ADV,-o
śniadać,śniadanie,0.43223736554038017,V:N,-anie
ogon,ogonek,0.6533515292816114,N:N,-ek
widzieć,widzenie,0.3951310325188184,V:N,-enie
nazwać,nazywać,0.7363531208802561,V:V,-ać
ołów,ołówek,0.48567411333559185,N:N,-ek
przyjemny,przyjemność,0.41676243989670714,ADJ:N,-ość
wygodny,wygodnie,0.5767571878692032,ADJ:ADV,-ie
zwiedzić,zwiedzać,0.8249281264471902,V:V,-ać
wybrać,wybierać,0.8013402020917063,V:V,-ać
skrzyżować,skrzyżowanie,0.5560948659829077,V:N,-anie
zostawić,zostawiać,0.8536779099748867,V:V,-ać
kita,kitka,0.44185763894541485,N:N,-ka
społeczny,społeczeństwo,0.40942412645359627,ADJ:N,-stwo
suchy,sucho,0.5166253118587993,ADJ:ADV,-o
mina,minka,0.5555021685605565,N:N,-ka
zad,zadek,0.4174244785956114,N:N,-ek
pacnąć,packa,0.22149101131887683,V:N,-ka
misa,miska,0.6143399612264051,N:N,-ka
pszczoła,pszczółka,0.6261995478644882,N:N,-ka
pomarańcza,pomarańczowy,0.41538712733137473,N:ADJ,-owy
kulturysta,kulturystka,0.5829221370576835,N:N,-ka
skok,skoczek,0.5288978658504806,N:N,-ek
Portugalia,Portugalka,0.5398347285520919,N:N,-ka
Jan,Janik,0.4062400708459162,N:N,-ik
dziad,dziadek,0.6261678512248909,N:N,-ek
Lach,laski,-0.011458944870176957,N:ADJ,-ski
Ryga,ryski,0.25247230011927213,N:ADJ,-ski
tresa,treska,0.5508419167525277,N:N,-ka
reporter,reporterka,0.6353775159213886,N:N,-ka
Bruksela,brukselka,0.2047766111855388,N:N,-ka
fiolet,fioletowy,0.7080713205846588,N:ADJ,-owy
purpura,purpurowy,0.485087183633099,N:ADJ,-owy
beż,beżowy,0.591807490153699,N:ADJ,-owy
turkus,turkusowy,0.6940761269561938,N:ADJ,-owy
granat,granatowy,0.5626172798030453,N:ADJ,-owy
błękit,błękitny,0.6632791606951663,N:ADJ,-ny
przecinać,przecinek,0.2562514429404187,V:N,-ek
indyk,indyczka,0.469179458175047,N:N,-ka
kot,kotek,0.7565651469321399,N:N,-ek
kierownik,kierowniczka,0.683579270694893,N:N,-ka
godny,godność,0.3310074074092826,ADJ:N,-ość
lekarz,lekarstwo,0.3219115131734558,N:N,-stwo
pion,pionek,0.5111353284498079,N:N,-ek
dostrzec,dostrzegać,0.69039445181027,V:V,-ać
stary,starość,0.2889932784847258,ADJ:N,-ość
dorosły,dorosłość,0.41362412619297007,N:N,-ość
pełnoletni,pełnoletniość,0.5187594405894854,ADJ:N,-ość
Czech,Czeszka,0.3282102390832504,N:N,-ka
koń,konik,0.6145021486430908,N:N,-ik
beton,betonowy,0.6303952214582808,N:ADJ,-owy
napowietrzyć,napowietrzać,0.8106904818530642,V:V,-ać
stryj,stryjek,0.6028489676682505,N:N,-ek
zimny,zimno,0.4952398270666527,ADJ:ADV,-o
przeziębić,przeziębienie,0.5802834827210489,V:N,-enie
puch,puszka,0.13365403853447777,N:N,-ka
ametyst,ametystowy,0.7142949279975198,N:ADJ,-owy
studia,studiować,0.49204435015882875,N:V,-ować
jedność,jednostka,0.2683564980496923,N:N,-ka
rudy,rudo,0.43345755346539894,ADJ:ADV,-o
szczep,szczepowy,0.573613216282806,N:ADJ,-owy
prowadzić,zaprowadzić,0.577122622890911,V:V,za-
doprowadzić,doprowadzać,0.8303244855541592,V:V,-ać
przeprowadzić,przeprowadzać,0.843525235984689,V:V,-ać
przód,przodować,0.229933834543681,N:V,-ować
administrator,administratorka,0.5672867242474225,N:N,-ka
kość,kostka,0.437389995965477,N:N,-ka
Litwa,litewski,0.4936693176817295,N:ADJ,-ski
mały,mało,0.38329784323062943,ADJ:N,-o
bezczelny,bezczelność,0.4831628270882622,ADJ:N,-ość
zuchwały,zuchwalstwo,0.5995113047100926,ADJ:N,-stwo
podać,podatek,0.17246474608717777,V:N,-ek
otworzyć,otwierać,0.7660424781176167,V:V,-ać
zabić,zabijać,0.7575495589953994,V:V,-ać
czynny,czynność,0.13778025943836236,ADJ:N,-ość
przyszły,przyszłość,0.36224663513531263,ADJ:N,-ość
ile,ilość,0.43699349641896457,N:N,-ość
Bułgaria,bułgarski,0.4881104229476878,N:ADJ,-ski
zainteresować,zainteresowanie,0.48380037075486304,V:N,-anie
ciemny,ciemność,0.32968914093687285,ADJ:N,-ość
młot,młotek,0.5895795168763565,N:N,-ek
Ameryka,amerykański,0.3635915769926332,N:ADJ,-ski
obecny,obecnie,0.48518660723934315,ADJ:ADV,-ie
zamknąć,zamykać,0.8048976387577584,V:V,-ać
zegar,zegarek,0.6844763663210208,N:N,-ek
wart,wartość,0.31904326967156793,ADJ:N,-ość
głupi,głupek,0.5922268895495671,ADJ:N,-ek
samobójca,samobójstwo,0.4793172580369678,N:N,-stwo
alkohol,alkoholowy,0.5783730545152406,N:ADJ,-owy
chciwy,chciwość,0.4631644472087525,ADJ:N,-ość
zapomnieć,zapominać,0.7831104653974836,V:V,-ać
wiadomy,wiadomość,0.3505283916711228,ADJ:N,-ość
konew,konewka,0.596454037048153,N:N,-ka
kolano,kolanowy,0.5136436456243735,N:ADJ,-owy
kolor,kolorowy,0.5221105015521409,N:ADJ,-owy
bordo,bordowy,0.6193207839686145,N:ADJ,-owy
potomek,potomstwo,0.45862623309319617,N:N,-stwo
tłumaczyć,tłumaczenie,0.42763091365772854,V:N,-enie
planeta,planetka,0.6902673219573712,N:N,-ka
tokarz,tokarka,0.6066244707603344,N:N,-ka
więzić,więzienie,0.4452687475763244,V:N,-enie
król,królestwo,0.4679649934662087,N:N,-stwo
zdać,zdanie,0.32252960608010195,V:N,-anie
butla,butelka,0.6936418052552846,N:N,-ka
bieda,biedny,0.4005778094317345,N:ADJ,-ny
pytać,pytanie,0.4709734514816034,V:N,-anie
komora,komórka,0.45811798606672527,N:N,-ka
bliski,blisko,0.41288126175805195,ADJ:ADV,-o
pić,picie,0.5817022306289661,V:N,-ie
przestrzec,przestrzegać,0.5459894341764336,V:V,-ać
duży,dużo,0.5144040938795839,ADJ:ADV,-o
brud,brudny,0.5872512482421698,N:ADJ,-ny
szwagier,szwagierka,0.6326400487132265,N:N,-ka
noc,nocny,0.37670021521823815,N:ADJ,-ny
skory,skoro,0.12968650230559553,ADJ:ADV,-o
badać,badanie,0.49435131091369544,V:N,-anie
waga,ważny,0.10822157588856851,N:ADJ,-ny
spółka,społeczny,0.15798917706595894,N:ADJ,-ny
kawa,kawka,0.6459299587289817,N:N,-ka
kopciuch,kopciuszek,0.6751048845002764,N:N,-ek
cały,cało,0.2275012426287808,ADJ:ADV,-o
znaczyć,znaczenie,0.4989260577126837,V:N,-enie
mąż,męski,0.29382322328715926,N:ADJ,-ski
położyć,położenie,0.30936133537899824,V:N,-enie
