pivot,inflection,similarity,category
orar,oro,0.12590167051980017,V;IND;PRS;1;SG
orar,oras,0.318538038024864,V;IND;PRS;2;SG;INFM
orar,ora,0.31891931048705957,V;IND;PRS;3;SG
orar,oramos,0.5955893871798293,V;IND;PRS;1;PL
orar,oran,0.6511704597971939,V;IND;PRS;3;PL
orar,oraba,0.6409023363454631,V;IND;PST;IPFV;1;SG
orar,oraba,0.6409023363454631,V;IND;PST;IPFV;3;SG
orar,oraban,0.6348524402359824,V;IND;PST;IPFV;3;PL
orar,oraré,0.5418720635683055,V;IND;FUT;1;SG
orar,orará,0.6551399168834176,V;IND;FUT;3;SG
orar,oraréis,0.5454714694820925,V;IND;FUT;2;PL
orar,orarán,0.646482047740829,V;IND;FUT;3;PL
oler,huelo,0.4938345436851921,V;IND;PRS;1;SG
oler,hueles,0.5095250271494886,V;IND;PRS;2;SG;INFM
oler,huele,0.552051046818815,V;IND;PRS;3;SG
oler,olemos,0.47569404632166523,V;IND;PRS;1;PL
oler,huelen,0.5848684753275066,V;IND;PRS;3;PL
oler,olía,0.5290141889289193,V;IND;PST;IPFV;1;SG
oler,olía,0.5290141889289193,V;IND;PST;IPFV;3;SG
oler,olían,0.5132320041841463,V;IND;PST;IPFV;3;PL
oler,olerá,0.5159357504070543,V;IND;FUT;3;SG
oler,olerán,0.51534482523932,V;IND;FUT;3;PL
contratacar,contrataca,0.5747382542840642,V;IND;PRS;3;SG
contratacar,contratacan,0.5214499323820093,V;IND;PRS;3;PL
contratacar,contratacará,0.4943530303325445,V;IND;FUT;3;SG
prometer,prometo,0.5407074621057595,V;IND;PRS;1;SG
prometer,prometes,0.46455193635419034,V;IND;PRS;2;SG;INFM
prometer,promete,0.6085769751731283,V;IND;PRS;3;SG
prometer,prometemos,0.4689059224582919,V;IND;PRS;1;PL
prometer,prometéis,0.5181201621384985,V;IND;PRS;2;PL
prometer,prometen,0.5374474060567476,V;IND;PRS;3;PL
prometer,prometía,0.5352380758192063,V;IND;PST;IPFV;1;SG
prometer,prometías,0.513153432732023,V;IND;PST;IPFV;2;SG;INFM
prometer,prometía,0.5352380758192063,V;IND;PST;IPFV;3;SG
prometer,prometíamos,0.469830646213246,V;IND;PST;IPFV;1;PL
prometer,prometían,0.45945195473451694,V;IND;PST;IPFV;3;PL
prometer,prometeré,0.5156661471170024,V;IND;FUT;1;SG
prometer,prometerá,0.6084297960244733,V;IND;FUT;3;SG
prometer,prometerán,0.4920448898912395,V;IND;FUT;3;PL
avalar,avalo,0.5191761840697198,V;IND;PRS;1;SG
avalar,avala,0.6589560422166609,V;IND;PRS;3;SG
avalar,avalamos,0.5164252857939611,V;IND;PRS;1;PL
avalar,avalan,0.5493964613031347,V;IND;PRS;3;PL
avalar,avalaba,0.6074105158778745,V;IND;PST;IPFV;1;SG
avalar,avalaba,0.6074105158778745,V;IND;PST;IPFV;3;SG
avalar,avalaban,0.5614951610692941,V;IND;PST;IPFV;3;PL
avalar,avalaré,0.5280410526078647,V;IND;FUT;1;SG
avalar,avalará,0.6280517603880114,V;IND;FUT;3;SG
avalar,avalaremos,0.5497684981646647,V;IND;FUT;1;PL
avalar,avalarán,0.6080392685695023,V;IND;FUT;3;PL
escindir,escinde,0.5632153889591992,V;IND;PRS;3;SG
escindir,escinden,0.43104180297639005,V;IND;PRS;3;PL
escindir,escindía,0.5095986043358398,V;IND;PST;IPFV;1;SG
