pivot,inflection,similarity,category
analizować,analizowałam,0.5203938898519137,V;PST;1;SG;FEM
analizować,analizowałaś,0.48114297429453234,V;PST;2;SG;FEM
analizować,analizowała,0.5293797403732452,V;PST;3;SG;FEM
analizować,analizowałem,0.504390752406411,V;PST;1;SG;MASC
analizować,analizowałeś,0.46434189657497704,V;PST;2;SG;MASC
analizować,analizowaliście,0.4445770608226468,V;PST;2;PL;MASC;HUM
analizować,analizowaliśmy,0.5151765586480315,V;PST;1;PL;MASC;HUM
analizować,analizowali,0.5098125476249429,V;PST;3;PL;MASC;HUM
analizować,analizowało,0.51916137870084,V;PST;3;SG;NEUT
analizować,analizował,0.5739827327357531,V;PST;3;SG;MASC
analizować,analizowałyście,0.4054778748573703,V;PST;2;PL
analizować,analizowałyśmy,0.4503883176283461,V;PST;1;PL
analizować,analizowały,0.5394221829119825,V;PST;3;PL
analizować,analizują,0.5601510459541786,V;PRS;3;PL
analizować,analizujecie,0.47223413425223315,V;PRS;2;PL
analizować,analizujemy,0.5432075830770133,V;PRS;1;PL
analizować,analizujesz,0.5847225258893501,V;PRS;2;SG
analizować,analizuję,0.5780437034022349,V;PRS;1;SG
analizować,analizuje,0.5888248561427362,V;PRS;3;SG
analizować,będą analizowali,0.3748493804768389,V;FUT;3;PL;MASC;HUM
analizować,będą analizowały,0.379424765762829,V;FUT;3;PL
analizować,będę analizowała,0.39127373006220245,V;FUT;1;SG;FEM
analizować,będę analizował,0.39746044899737365,V;FUT;1;SG;MASC
analizować,będzie analizowała,0.3450664962344717,V;FUT;3;SG;FEM
analizować,będzie analizowało,0.3557569142227941,V;FUT;3;SG;NEUT
analizować,będzie analizował,0.35751014041669116,V;FUT;3;SG;MASC
analizować,będziecie analizowali,0.3492713437480055,V;FUT;2;PL;MASC;HUM
analizować,będziecie analizowały,0.34507527307840213,V;FUT;2;PL
analizować,będziemy analizowali,0.3192460187292159,V;FUT;1;PL;MASC;HUM
analizować,będziemy analizowały,0.3189654061813447,V;FUT;1;PL
analizować,będziesz analizowała,0.36330914327157693,V;FUT;2;SG;FEM
analizować,będziesz analizował,0.37179996627988743,V;FUT;2;SG;MASC
atakować,atakowałam,0.530379317464348,V;PST;1;SG;FEM
atakować,atakowałaś,0.4910039326093172,V;PST;2;SG;FEM
atakować,atakowała,0.5924243813346739,V;PST;3;SG;FEM
atakować,atakowałem,0.5834617670540583,V;PST;1;SG;MASC
atakować,atakowałeś,0.4976328868130697,V;PST;2;SG;MASC
atakować,atakowaliście,0.5081784970521394,V;PST;2;PL;MASC;HUM
atakować,atakowaliśmy,0.5646553701170828,V;PST;1;PL;MASC;HUM
atakować,atakowali,0.6038144093480051,V;PST;3;PL;MASC;HUM
atakować,atakowało,0.5776138976818133,V;PST;3;SG;NEUT
atakować,atakował,0.6411265795829278,V;PST;3;SG;MASC
atakować,atakowałyście,0.42824815778750036,V;PST;2;PL
atakować,atakowałyśmy,0.4834206011963318,V;PST;1;PL
atakować,atakowały,0.5973739507746724,V;PST;3;PL
atakować,atakują,0.6348407820722153,V;PRS;3;PL
atakować,atakujecie,0.4684686850584714,V;PRS;2;PL
atakować,atakujemy,0.5799641891103839,V;PRS;1;PL
atakować,atakujesz,0.5115897412398694,V;PRS;2;SG
atakować,atakuję,0.5325024076692552,V;PRS;1;SG
atakować,atakuje,0.6394711327082337,V;PRS;3;SG
atakować,będą atakowali,0.3975286962786314,V;FUT;3;PL;MASC;HUM
atakować,będą atakowały,0.3975983482526926,V;FUT;3;PL
atakować,będę atakowała,0.3912350633115659,V;FUT;1;SG;FEM
atakować,będę atakował,0.3867333465847663,V;FUT;1;SG;MASC
atakować,będzie atakowała,0.3395359583198876,V;FUT;3;SG;FEM
atakować,będzie atakowało,0.331783989737539,V;FUT;3;SG;NEUT
atakować,będzie atakował,0.3457351831211204,V;FUT;3;SG;MASC
atakować,będziecie atakowali,0.3455619768993885,V;FUT;2;PL;MASC;HUM
atakować,będziecie atakowały,0.3431684397918162,V;FUT;2;PL
atakować,będziemy atakowali,0.2935794987247069,V;FUT;1;PL;MASC;HUM
atakować,będziemy atakowały,0.2950805108362182,V;FUT;1;PL
atakować,będziesz atakowała,0.36810801534983173,V;FUT;2;SG;FEM
atakować,będziesz atakował,0.3679877201064795,V;FUT;2;SG;MASC
badać,badacie,0.3858263561450702,V;PRS;2;PL
badać,badają,0.5949323224724258,V;PRS;3;PL
badać,badałam,0.5277709870543963,V;PST;1;SG;FEM
badać,badałaś,0.49640418508835726,V;PST;2;SG;FEM
badać,badała,0.599609924438771,V;PST;3;SG;FEM
badać,badałem,0.5272944892220951,V;PST;1;SG;MASC
badać,badałeś,0.4868977227294843,V;PST;2;SG;MASC
badać,badaliście,0.41457288600988973,V;PST;2;PL;MASC;HUM
badać,badaliśmy,0.5302523767053168,V;PST;1;PL;MASC;HUM
badać,badali,0.5892115440112775,V;PST;3;PL;MASC;HUM
badać,badało,0.5516992493479635,V;PST;3;SG;NEUT
badać,badał,0.5989481642728182,V;PST;3;SG;MASC
badać,badałyście,0.393151634133051,V;PST;2;PL
badać,badałyśmy,0.43788609662486744,V;PST;1;PL
badać,badały,0.5798620607446249,V;PST;3;PL
badać,badam,0.525035262983878,V;PRS;1;SG
badać,badamy,0.572428146278246,V;PRS;1;PL
badać,badasz,0.5056432032504052,V;PRS;2;SG
badać,bada,0.6167343782146782,V;PRS;3;SG
badać,będą badali,0.3135179752915882,V;FUT;3;PL;MASC;HUM
badać,będą badały,0.3258982846467918,V;FUT;3;PL
badać,będę badała,0.36832584483683606,V;FUT;1;SG;FEM
badać,będę badał,0.35615248030682256,V;FUT;1;SG;MASC
badać,będzie badała,0.3327702199228011,V;FUT;3;SG;FEM
badać,będzie badało,0.3243579466400188,V;FUT;3;SG;NEUT
badać,będzie badał,0.3301527285679441,V;FUT;3;SG;MASC
badać,będziecie badali,0.29552617184654806,V;FUT;2;PL;MASC;HUM
badać,będziecie badały,0.30596413150131485,V;FUT;2;PL
badać,będziemy badali,0.25339630040493955,V;FUT;1;PL;MASC;HUM
badać,będziemy badały,0.2660862184103058,V;FUT;1;PL
badać,będziesz badała,0.3190097416077857,V;FUT;2;SG;FEM
badać,będziesz badał,0.31283681379173744,V;FUT;2;SG;MASC
bawić,bawią,0.6454189417069832,V;PRS;3;PL
bawić,bawicie,0.5806698473062658,V;PRS;2;PL
bawić,bawię,0.6156177562299616,V;PRS;1;SG
bawić,bawiłam,0.5806212473495305,V;PST;1;SG;FEM
bawić,bawiłaś,0.5139761162685453,V;PST;2;SG;FEM
bawić,bawiła,0.5832958371761027,V;PST;3;SG;FEM
bawić,bawiłem,0.5560286869652807,V;PST;1;SG;MASC
bawić,bawiłeś,0.5263795870894116,V;PST;2;SG;MASC
bawić,bawiliście,0.48794746652552523,V;PST;2;PL;MASC;HUM
bawić,bawiliśmy,0.5647351883059133,V;PST;1;PL;MASC;HUM
bawić,bawili,0.5927843270584917,V;PST;3;PL;MASC;HUM
bawić,bawiło,0.555547384874153,V;PST;3;SG;NEUT
bawić,bawił,0.620030578693288,V;PST;3;SG;MASC
bawić,bawiłyście,0.4578945186537171,V;PST;2;PL
bawić,bawiłyśmy,0.5064106491737876,V;PST;1;PL
bawić,bawiły,0.5618902938568492,V;PST;3;PL
bawić,bawimy,0.6066185082805182,V;PRS;1;PL
bawić,bawisz,0.5845974028880345,V;PRS;2;SG
bawić,bawi,0.6230060594097305,V;PRS;3;SG
bawić,będą bawili,0.29252666758104473,V;FUT;3;PL;MASC;HUM
bawić,będą bawiły,0.28396936131244654,V;FUT;3;PL
bawić,będę bawiła,0.3215741356373343,V;FUT;1;SG;FEM
bawić,będę bawił,0.29761361606105063,V;FUT;1;SG;MASC
bawić,będzie bawiła,0.31415196209170637,V;FUT;3;SG;FEM
bawić,będzie bawiło,0.3048454625453789,V;FUT;3;SG;NEUT
bawić,będzie bawił,0.3015411289776957,V;FUT;3;SG;MASC
bawić,będziecie bawili,0.29177967585365416,V;FUT;2;PL;MASC;HUM
bawić,będziecie bawiły,0.2848942585427119,V;FUT;2;PL
bawić,będziemy bawili,0.25761308153405615,V;FUT;1;PL;MASC;HUM
bawić,będziemy bawiły,0.24976005774527532,V;FUT;1;PL
bawić,będziesz bawiła,0.2909841102088375,V;FUT;2;SG;FEM
bawić,będziesz bawił,0.27384916339949594,V;FUT;2;SG;MASC
biegać,będą biegali,0.3175306972764389,V;FUT;3;PL;MASC;HUM
biegać,będą biegały,0.30069101266162157,V;FUT;3;PL
biegać,będę biegała,0.30984371905918495,V;FUT;1;SG;FEM
