pivot,derivation,similarity,category,affix
mata,matka,0.18304722135047113,N:N,-ka
dziewczyna,dziewczynka,0.7733345607074069,N:N,-ka
długi,długość,0.29168202884405026,ADJ:N,-ość
miły,miłość,0.20601310410910456,ADJ:N,-ość
wysoki,wysokość,0.32135950450131023,ADJ:N,-ość
cebula,cebulka,0.5512846958068193,N:N,-ka
herbata,herbatka,0.7457178300417321,N:N,-ka
nauczyciel,nauczycielka,0.715653016534972,N:N,-ka
kwiat,kwiatek,0.4091006969969744,N:N,-ek
woda,wódka,0.46045407723941434,N:N,-ka
wola,wolny,0.22384852095076568,N:ADJ,-ny
Polska,polski,0.46323366005840394,N:ADJ,-ski
rysa,ryska,0.3138964418441996,N:N,-ka
marchew,marchewka,0.544858702905201,N:N,-ka
para,parka,0.4266539786732384,N:N,-ka
wymóc,wymagać,0.28726122885047745,V:V,-ać
Google,googlować,0.38393761631266377,N:V,-ować
ewentualny,ewentualnie,0.420679082392982,ADJ:ADV,-ie
oczywisty,oczywiście,0.3985451030489371,ADJ:ADV,-ie
wierzba,Wierzbowski,0.1676444390093914,N:N,-ski
baba,babka,0.49947533379866016,ADJ:N,-ka
ucho,uszny,0.38937057935863106,N:ADJ,-ny
Polak,Polka,0.5111299149741972,N:N,-ka
kot,kotka,0.4912790880976543,N:N,-ka
aktor,aktorka,0.8051825731550859,N:N,-ka
kowal,Kowalski,0.5091791634610574,N:N,-ski
orać,orka,0.18529763385239817,V:N,-ka
brąz,brązowy,0.8441908593242285,N:ADJ,-owy
niebo,niebieski,0.29054720843493453,N:ADJ,-ski
rozebrać,rozbierać,0.755177715971013,V:V,-ać
sen,snowy,0.19768420591315894,N:ADJ,-owy
tarń,tarka,0.3841082622067007,N:N,-ka
córa,córka,0.6172851193868406,N:N,-ka
kula,kulka,0.6125726956401901,N:N,-ka
częsty,często,0.4920973643040196,ADJ:ADV,-o
śniadać,śniadanie,0.47111928785979795,V:N,-anie
ogon,ogonek,0.628188715594901,N:N,-ek
widzieć,widzenie,0.3056432497060795,V:N,-enie
nazwać,nazywać,0.6804288099214567,V:V,-ać
ołów,ołówek,0.28256294474077337,N:N,-ek
przyjemny,przyjemność,0.356763305150275,ADJ:N,-ość
wygodny,wygodnie,0.5298989441657181,ADJ:ADV,-ie
zwiedzić,zwiedzać,0.8221644181550491,V:V,-ać
wybrać,wybierać,0.7565995665731,V:V,-ać
skrzyżować,skrzyżowanie,0.31264716452957897,V:N,-anie
zostawić,zostawiać,0.7238663097613418,V:V,-ać
kita,kitka,0.19508400868852593,N:N,-ka
społeczny,społeczeństwo,0.3719285285193781,ADJ:N,-stwo
suchy,sucho,0.35303488640056835,ADJ:ADV,-o
mina,minka,0.4192470566254608,N:N,-ka
zad,zadek,0.3767477720616166,N:N,-ek
pacnąć,packa,0.2202760523147227,V:N,-ka
misa,miska,0.5267621247474779,N:N,-ka
pszczoła,pszczółka,0.4243563689233124,N:N,-ka
pomarańcza,pomarańczowy,0.4104350793860915,N:ADJ,-owy
kulturysta,kulturystka,0.5825191109963043,N:N,-ka
skok,skoczek,0.45946028170986386,N:N,-ek
Portugalia,Portugalka,0.41266753674461865,N:N,-ka
Jan,Janik,0.33652299577366407,N:N,-ik
dziad,dziadek,0.6921329885280081,N:N,-ek
Lach,laski,0.1410192905759814,N:ADJ,-ski
Ryga,ryski,0.28757882716121475,N:ADJ,-ski
reporter,reporterka,0.6435353996275278,N:N,-ka
Bruksela,brukselka,0.21169653342334005,N:N,-ka
fiolet,fioletowy,0.5668327543428453,N:ADJ,-owy
purpura,purpurowy,0.4917899481497985,N:ADJ,-owy
beż,beżowy,0.43243522895783437,N:ADJ,-owy
turkus,turkusowy,0.3959867730066575,N:ADJ,-owy
granat,granatowy,0.45514593273687454,N:ADJ,-owy
błękit,błękitny,0.4746106610302946,N:ADJ,-ny
przecinać,przecinek,0.13921382495690693,V:N,-ek
indyk,indyczka,0.46174359757566885,N:N,-ka
kot,kotek,0.6439093889406619,N:N,-ek
kierownik,kierowniczka,0.7169179093943568,N:N,-ka
godny,godność,0.2332980160704763,ADJ:N,-ość
lekarz,lekarstwo,0.22191254182528963,N:N,-stwo
pion,pionek,0.2378015132992084,N:N,-ek
dostrzec,dostrzegać,0.6819007064455685,V:V,-ać
stary,starość,0.13869770483050248,ADJ:N,-ość
dorosły,dorosłość,0.41113357600669476,N:N,-ość
pełnoletni,pełnoletniość,0.3500917335078677,ADJ:N,-ość
Czech,Czeszka,0.3297220312736844,N:N,-ka
koń,konik,0.534929827393444,N:N,-ik
beton,betonowy,0.5451213538337132,N:ADJ,-owy
napowietrzyć,napowietrzać,0.6764139507441784,V:V,-ać
stryj,stryjek,0.4369952465327698,N:N,-ek
zimny,zimno,0.521963401117342,ADJ:ADV,-o
przeziębić,przeziębienie,0.482837692970279,V:N,-enie
puch,puszka,0.1737940802600766,N:N,-ka
ametyst,ametystowy,0.30932156061413363,N:ADJ,-owy
studia,studiować,0.6374764204963242,N:V,-ować
